time,predictions,actual,difference
2018-03-01,156.09908552430838,154.095,2.0040855243083797
2018-04-01,173.27189105631865,183.301,-10.029108943681337
2018-05-01,184.27967775760015,226.963,-42.68332224239984
2018-06-01,241.6969366688028,267.761,-26.064063331197218
2018-07-01,257.0622400226394,275.781,-18.718759977360605
2018-08-01,267.330248990066,252.049,15.281248990066018
2018-09-01,238.95284819940224,216.52,22.43284819940223
2018-10-01,179.32183144480624,188.139,-8.817168555193774
2018-11-01,156.76116827391897,163.009,-6.247831726081017
2018-12-01,158.48958820394822,157.127,1.3625882039482065
2019-01-01,145.20984411558285,146.349,-1.1391558844171357
2019-02-01,132.87698330587622,134.081,-1.2040166941237658
2019-03-01,152.7835713502346,154.115,-1.3314286497653995
2019-04-01,160.71890473696482,178.254,-17.535095263035174
2019-05-01,221.5485193256304,220.324,1.2245193256303821
2019-06-01,253.75795701697345,266.582,-12.824042983026544
2019-07-01,269.546000537257,276.671,-7.1249994627430056
2019-08-01,254.02002804819557,267.226,-13.205971951804429
2019-09-01,224.0037789400276,224.982,-0.9782210599724124
2019-10-01,187.02603850006733,196.331,-9.30496149993266
2019-11-01,160.63770128056444,157.023,3.6147012805644465
2019-12-01,163.1760271020914,153.234,9.942027102091402
2020-01-01,144.5367401902923,147.206,-2.6692598097076825
2020-02-01,140.98707888190913,140.411,0.576078881909126
2020-03-01,149.36774056551883,169.087,-19.71925943448116
2020-04-01,184.01427586128423,193.711,-9.69672413871578
2020-05-01,240.2480184812252,231.32,8.928018481225195
2020-06-01,258.1444576763599,269.104,-10.959542323640107
2020-07-01,271.8827081735171,292.653,-20.770291826482946
2020-08-01,251.76710930232167,254.615,-2.847890697678338
2020-09-01,212.18209129925708,210.179,2.003091299257079
2020-10-01,194.46774112552183,187.148,7.31974112552183
2020-11-01,160.29688579187984,164.988,-4.691114208120155
2020-12-01,144.66172501764217,158.128,-13.466274982357817
2021-01-01,142.91823599850693,159.262,-16.34376400149307
2021-02-01,135.4134850314078,144.957,-9.543514968592206
2021-03-01,161.79436413633556,156.806,4.988364136335548
2021-04-01,191.83082416610029,173.928,17.902824166100288
2021-05-01,194.35594650810177,235.724,-41.36805349189822
2021-06-01,258.3448009993065,264.713,-6.368199000693494
2021-07-01,267.4832612603548,290.751,-23.267738739645154
2021-08-01,267.7284163893498,278.928,-11.199583610650222
2021-09-01,216.26701147219373,229.468,-13.20098852780626
2021-10-01,195.7644890240092,194.78,0.984489024009207
2021-11-01,158.33733526550847,167.302,-8.964664734491521
2021-12-01,152.0540414519244,161.551,-9.496958548075582
2022-01-01,147.50499865671807,154.552,-7.04700134328192
2022-02-01,136.3891325735112,144.661,-8.271867426488797
2022-03-01,173.81393321937765,165.378,8.43593321937766
2022-04-01,174.44587743000724,177.647,-3.201122569992748
2022-05-01,226.58347071617837,227.145,-0.5615292838216419
2022-06-01,263.50161252608683,273.656,-10.154387473913175
2022-07-01,280.30177351176445,309.159,-28.85722648823554
2022-08-01,273.0323023045556,272.579,0.4533023045556206
2022-09-01,217.7216334349536,226.319,-8.5973665650464
2022-10-01,178.9968859960729,207.161,-28.164114003927097
2022-11-01,165.0294613939587,159.159,5.8704613939587205
2022-12-01,150.68014798552355,157.832,-7.151852014476447
2023-01-01,150.7665779721236,154.015,-3.248422027876387
2023-02-01,137.83437598618914,146.132,-8.29762401381086
2023-03-01,161.3235080735474,172.611,-11.287491926452589
2023-04-01,180.3235645735348,187.355,-7.03143542646518
2023-05-01,225.802836269553,232.325,-6.522163730446977
2023-06-01,272.8964845871448,267.397,5.499484587144821
2023-07-01,290.1891998258282,300.28,-10.090800174171761
2023-08-01,262.40429636568774,290.304,-27.89970363431223
2023-09-01,218.04452540764495,220.171,-2.126474592355038
2023-10-01,193.0729150572187,197.491,-4.41808494278132
2023-11-01,160.75380503750154,172.097,-11.343194962498472
2023-12-01,156.49217420419032,166.187,-9.694825795809692
2024-01-01,148.476793593335,160.606,-12.129206406664991
2024-02-01,144.0115046740404,151.908,-7.896495325959592
2024-03-01,156.92667130724251,179.446,-22.519328692757483
2024-04-01,182.03438912536163,195.36,-13.325610874638386
2024-05-01,231.75524582845415,275.921,-44.16575417154584
2024-06-01,267.0605462296145,280.038,-12.977453770385523
