epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
15,63,103.727783203125,,,,,,
16,64,,95.0318374633789,,,,,
16,65,,93.12187957763672,,,,,
16,66,,108.18075561523438,,,,,
16,67,,104.80835723876953,,,,,
16,67,,,49.07559585571289,0.11586180329322815,70.15330505371094,0.12953589856624603,95.65869140625
16,67,100.28570556640625,,,,,,
17,68,,98.54773712158203,,,,,
17,69,,103.2037124633789,,,,,
17,70,,97.8905258178711,,,,,
17,71,,100.14492797851562,,,,,
17,71,,,48.72848129272461,0.11499152332544327,69.83891296386719,0.12849833071231842,94.04324340820312
17,71,99.94672393798828,,,,,,
18,72,,101.14886474609375,,,,,
18,73,,93.46131134033203,,,,,
18,74,,104.31455993652344,,,,,
18,75,,95.75812530517578,,,,,
18,75,,,47.2940673828125,0.11139451712369919,68.57036590576172,0.12422624975442886,87.89007568359375
18,75,98.67071533203125,,,,,,
19,76,,91.45795440673828,,,,,
19,77,,95.64732360839844,,,,,
19,78,,98.28683471679688,,,,,
19,79,,100.84080505371094,,,,,
19,79,,,46.84770584106445,0.11027552932500839,68.18426513671875,0.12290207296609879,86.09442138671875
19,79,96.5582275390625,,,,,,
20,80,,81.21533966064453,,,,,
20,81,,98.40159606933594,,,,,
20,82,,101.1187973022461,,,,,
20,83,,95.12366485595703,,,,,
20,83,,,46.43460464477539,0.1092396005988121,67.83208465576172,0.12167864292860031,84.4216079711914
20,83,93.96485137939453,,,,,,
21,84,,91.67256164550781,,,,,
21,85,,88.7498550415039,,,,,
21,86,,87.44330596923828,,,,,
21,87,,101.27115631103516,,,,,
21,87,,,44.72897720336914,0.10496356338262558,66.41800689697266,0.11664936691522598,78.16327667236328
21,87,92.28421783447266,,,,,,
22,88,,89.24720001220703,,,,,
22,89,,85.13651275634766,,,,,
22,90,,93.02464294433594,,,,,
22,91,,85.97367095947266,,,,,
22,91,,,44.267547607421875,0.1038069948554039,66.04706573486328,0.11529485136270523,76.64813232421875
22,91,88.34549713134766,,,,,,
23,92,,92.5259780883789,,,,,
23,93,,89.53839874267578,,,,,
23,94,,81.17764282226562,,,,,
23,95,,90.23016357421875,,,,,
23,95,,,43.75563430786133,0.10252451151609421,65.6396484375,0.1137952134013176,75.274169921875
23,95,88.3680419921875,,,,,,
24,96,,82.92430877685547,,,,,
24,97,,94.00497436523438,,,,,
24,98,,84.24006652832031,,,,,
24,99,,84.62328338623047,,,,,
24,99,,,42.8040657043457,0.10060691833496094,64.1312484741211,0.111055888235569,71.62725067138672
24,99,86.44815826416016,,,,,,
25,100,,83.71308135986328,,,,,
25,101,,83.67495727539062,,,,,
25,102,,85.16582489013672,,,,,
25,103,,78.65933227539062,,,,,
25,103,,,42.82004165649414,0.10090241581201553,63.72995376586914,0.11112552881240845,70.75102996826172
25,103,82.80330657958984,,,,,,
26,104,,72.26663970947266,,,,,
26,105,,82.27579498291016,,,,,
26,106,,84.41024780273438,,,,,
26,107,,84.38601684570312,,,,,
26,107,,,42.83573532104492,0.10118453949689865,63.35688400268555,0.11119260638952255,69.91620635986328
26,107,80.83467864990234,,,,,,
27,108,,80.22171783447266,,,,,
27,109,,88.58654022216797,,,,,
27,110,,74.7079086303711,,,,,
27,111,,77.6932601928711,,,,,
27,111,,,42.89497375488281,0.10232531279325485,61.90734100341797,0.1114470586180687,66.8497085571289
27,111,80.30235290527344,,,,,,
28,112,,80.41919708251953,,,,,
28,113,,75.18771362304688,,,,,
28,114,,74.51583862304688,,,,,
28,115,,76.73622131347656,,,,,
28,115,,,42.90817642211914,0.10259760171175003,61.57682418823242,0.11150401085615158,66.06668090820312
28,115,76.7147445678711,,,,,,
29,116,,74.94244384765625,,,,,
29,117,,68.75662231445312,,,,,
29,118,,71.45913696289062,,,,,
29,119,,83.10556030273438,,,,,
29,119,,,42.92144775390625,0.10287191718816757,61.25185775756836,0.11156079173088074,65.28360748291016
29,119,74.5659408569336,,,,,,
