Station	Year 	Stats_Code	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Annual
1287	2014	33	3.7	3.8	3.1	2.6	2.1	2.8	3.6	3.7	3.6	3.6	3.6	3.5	3.3
1287	2014	60	12	7	7	4	3	10	16	13	12	12	12	5	113
1287	2014	61	1.8	1.4	1.1	1.7	2	1.5	1.9	1.7	1.3	1.7	2.6	2.1	3.3
1962	2014	0	42	11	25.2	107.8	79.6	182.6	92.4	139.6	174.8	91.2	58.8	64.6	1069.6
1962	2014	2	19.1	20.4	18.4	18	14	13.2	10.9	11.8	13.6	14.6	15.5	18.4	15.6
1962	2014	16	15.8	17.3	15.7	16.8	13.8	13	11	11.1	12.8	12.8	13.6	16.2	14.2
1962	2014	33	5.7	4.5	4.3	4.1	3.4	4	4.8	4.9	5.3	5.8	6.1	4.8	4.8
1962	2014	60	19	9	7	8	6	13	17	17	16	14	17	-	-
1962	2014	61	1.4	1.4	1.2	2	2.5	1.6	2.3	1.6	1.5	1.6	1.9	1.9	3.4
1287	2015	0	17.8	61.2	75.2	61.8	148.8	83.4	103.6	146	170.2	68.6	50	32.4	1019
1287	2015	2	20.9	20.4	19.9	17.6	14.6	12.6	11.4	12.3	12.9	15.1	17.2	18.9	16.1
1287	2015	16	17.9	18.4	18.1	16.3	14.3	11.8	11.1	11.8	11.8	12.6	14.6	15.3	14.5
1287	2015	33	2.8	2.7	2.9	2.8	2.7	3	3	2.5	3.2	3.6	3.1	3.5	3
1287	2015	60	1	6	5	8	8	10	12	5	11	9	6	7	88
1287	2015	61	1.3	1.3	1.7	2	2	2	2.5	2.2	1.4	1.1	2.5	1.7	3.8
1962	2015	0	13.6	38	73.2	-	123.4	88.8	190.4	145.8	107.2	43.6	81	26.8	-
1962	2015	2	21	20.2	20.1	17	13.8	12.4	10.7	11.5	12.8	14.7	16.2	18.4	15.7
1962	2015	16	18	17.9	17.6	15.9	13.5	11.8	10.9	11.5	11.5	13	14	15.1	14.2
1962	2015	33	4	3.9	4	4.3	4.2	5.2	4.3	3.8	4.9	6	4.9	5.8	4.6
1962	2015	60	3	5	8	12	11	18	15	11	13	18	-	15	-
1962	2015	61	1.4	1.3	1.5	2.3	2.3	2.5	2.3	2	1.3	1.2	2.5	1.4	3.9
1287	2016	0	125.8	140.6	125.6	79.6	97.8	120.6	127	129.4	83.2	-	72.6	20.4	-
1287	2016	2	21.3	21.9	20.6	17.8	17.1	13.8	12.7	11.9	14.4	15.6	17.3	18.6	16.9
1287	2016	16	20	20.9	18.9	16.7	16.1	13.3	12.1	11.7	13	13.6	13.8	14.9	15.4
1287	2016	33	3.1	3	3.2	2.2	2.2	2.9	3.8	2.8	2.8	3.2	3.9	3.3	3
1287	2016	60	5	5	6	2	-	11	17	-	8	-	13	5	-
1287	2016	61	1.7	1.1	1.2	1.7	1.9	2.3	1.7	2	2	1.4	1.5	1	3.7
1962	2016	0	128.2	100	26.8	32.4	153.2	124.6	130	79.8	175.2	65	80.8	32.8	1128.8
1962	2016	2	20.9	21.9	20.1	17.4	16.3	12.8	11.7	11.4	13.8	15.1	16.5	18	16.3
1962	2016	16	19.3	20.4	18.8	15.8	15.5	12.9	11.1	11.2	13.3	13.4	14	14.7	15
1962	2016	33	4.4	4.1	4.2	3.5	4.6	4	5.7	4.2	4.6	5.5	6.5	5.4	4.7
1962	2016	60	11	6	10	3	17	13	20	12	12	17	-	-	-
1962	2016	61	1.6	1	1.3	1.6	1.6	2.3	2	1.8	2.2	1.4	1.4	1.3	3.9
1287	2017	0	20.2	88.4	208.8	248.6	87.6	175.2	112.8	151.2	113.2	48	93.2	25.8	1373
1287	2017	2	20.2	21.6	20.2	18.3	14.8	12.9	11.7	13.1	13.7	15.9	16.5	19.9	16.6
1287	2017	16	15.3	19	19	18.1	13.8	12.5	11.5	12.7	12.5	13.8	14.7	17.3	15
1287	2017	33	3.4	2.8	2.8	2.5	2.7	2.6	2.6	2.7	3.2	3.6	3	3	2.9
1287	2017	60	7	3	4	4	7	-	10	9	14	7	5	3	-
1287	2017	61	1.9	1.6	1.5	2.3	2.1	1.9	2	1.5	1.7	1.6	1.9	1.2	3.7
1962	2017	0	34.6	60.4	260.8	178	107.8	47.6	178	116.8	98	75.8	23	7.6	1188.4
1962	2017	2	19.3	20.5	19.7	17.7	13.8	12.1	11.2	12.7	13.8	15.3	17	20.5	16.1
1962	2017	16	15.8	18.2	18.1	17.1	13.3	12	11.6	12.6	12.7	13.8	14.5	16.9	14.7
1962	2017	33	6.2	4	4.4	3.8	3.9	3.5	3.9	3.9	5.4	5.9	4.3	4.6	4.5
1962	2017	60	16	4	9	12	10	7	12	13	17	-	8	11	-
1962	2017	61	1.5	1.5	1.2	2	2.3	1.6	1.9	1.7	1.6	1.4	1.7	1.3	3.6
1287	2018	0	114.2	198.6	-	-	112.6	340.4	95.4	75	122	42.4	117.6	115.2	-
1287	2018	2	22.2	21.6	20.1	17.5	14.8	12.7	12	12.4	13.1	14.8	16.8	19.3	16.4
1287	2018	16	20.6	20.4	18.8	15.4	13.9	12.4	11.7	11.9	12.2	13.3	14.6	17.4	15.2
1287	2018	33	3.5	3.2	3.1	2.7	2.4	3.1	2.2	2.6	3.1	2.6	3	3.1	2.9
1287	2018	60	12	10	6	8	4	-	7	9	9	-	7	8	-
1287	2018	61	1.1	1.9	1.3	2.2	2.8	2.1	1.5	1.2	1.7	1.6	2	1.1	3.9
1962	2018	0	65.6	148.8	56.4	157	97.4	194.8	124.2	115	46.4	76.9	98	206	1386.5
1962	2018	2	22.5	21.1	19.9	17.2	14.8	11.6	11.3	12.1	13.1	14.3	16.4	19.1	16.1
1962	2018	16	21	20.6	17.9	16	14	11.7	11.7	12.1	11.8	13.1	14.7	17.2	15.2
1962	2018	33	5.1	4.5	3.9	4.9	4.3	3.9	3.6	3.8	4.8	4.2	4.6	5.1	4.4
1962	2018	60	12	10	9	16	10	11	12	11	13	-	10	14	-
1962	2018	61	1.2	1.9	1.4	2.1	3.1	2.2	1.5	1	1.8	1.3	2	1.4	4.1
1287	2019	0	10.2	-	51.4	63.6	34.6	-	115.4	88	116.6	147.6	44	47.8	-
1287	2019	2	21.8	20.9	20	16.4	15.5	12.6	12.8	12.6	13.7	15	18.3	19.5	16.6
1287	2019	16	18.6	18.9	18.5	15.3	14.6	12.4	12.7	11.8	12.7	13	15.1	16.1	15
1287	2019	33	3.5	3.1	2.4	2.4	2.3	2.5	2.5	3.4	3.4	3.7	3.3	3.4	3
1287	2019	60	6	4	3	1	7	-	6	17	13	12	7	9	-
1287	2019	61	1.4	1.5	1.2	1.7	1.5	1.3	1.9	1.3	1.3	1.6	2.3	1.7	3.6
1962	2019	0	31.6	20.6	53.2	67.2	63.4	85.2	146	189.4	126.4	68.6	-	51	-
1962	2019	2	21.1	20.8	20.1	15.9	15	11.7	12.1	12.1	13.3	14.6	17.4	19.3	16.1
1962	2019	16	19.1	17.9	18.5	14.3	14.3	11.5	12.3	11.7	12.4	13.1	15	16.1	14.7
1962	2019	33	5.3	4.2	3.3	3.6	3.8	3.6	3.7	5.9	5.6	6.4	5.4	5.5	4.7
1962	2019	60	9	7	6	8	11	11	13	20	18	18	-	16	-
1962	2019	61	1.3	1.4	1.1	1.7	1.4	1.5	1.8	1.6	1.5	1.4	2	1.6	3.7
