time,Selected business demand (GWh)
2018-03-01,263.1607614057993
2018-04-01,260.1838713939575
2018-05-01,259.22401043594334
2018-06-01,260.3424036583408
2018-07-01,265.51181798140425
2018-08-01,281.87709938049545
2018-09-01,263.22706032055066
2018-10-01,260.27006528541483
2018-11-01,256.16081500025604
2018-12-01,258.237465037813
2019-01-01,259.82473605079554
2019-02-01,255.18174422225698
2019-03-01,262.2253376418659
2019-04-01,251.4453178102681
2019-05-01,266.9867305813148
2019-06-01,255.04877828684536
2019-07-01,263.94921878736113
2019-08-01,276.80131504634977
2019-09-01,266.1355944701206
2019-10-01,261.57011094787197
2019-11-01,257.7700797332492
2019-12-01,259.04712181941755
2020-01-01,267.109602494139
2020-02-01,254.64215913264485
2020-03-01,266.25646643550795
2020-04-01,249.4309858379342
2020-05-01,265.9362788485463
2020-06-01,254.81529348202443
2020-07-01,264.0676515989389
2020-08-01,275.7193940529629
2020-09-01,265.01624135643453
2020-10-01,260.973386123866
2020-11-01,256.8062514315107
2020-12-01,257.92288990987606
2021-01-01,261.2617623653367
2021-02-01,255.1724008676331
2021-03-01,267.47487884338096
2021-04-01,246.7743638232056
2021-05-01,260.1636173747081
2021-06-01,252.97229740990826
2021-07-01,261.8920834238015
2021-08-01,273.05823029040425
2021-09-01,265.0461039653997
2021-10-01,262.9960058069532
2021-11-01,255.68656080316316
2021-12-01,256.5399781207004
2022-01-01,268.1021910072432
2022-02-01,252.74199976873635
2022-03-01,266.7157883782197
2022-04-01,248.46635590723818
2022-05-01,262.5322266300228
2022-06-01,253.2954023103573
2022-07-01,262.8064790593624
2022-08-01,269.8500832277433
2022-09-01,262.0730845069301
2022-10-01,261.6424408748016
2022-11-01,260.11917114817993
2022-12-01,256.9873012734909
2023-01-01,265.8214301088057
2023-02-01,252.4122480617111
2023-03-01,264.57167373844874
2023-04-01,247.34884036959542
2023-05-01,259.90698012399304
2023-06-01,247.1326878190371
2023-07-01,264.81127666264365
2023-08-01,270.33653315178105
2023-09-01,263.0630157385632
2023-10-01,262.11010089077763
2023-11-01,259.5880805099627
2023-12-01,253.08859375143788
2024-01-01,264.60925454455025
2024-02-01,254.51994693607995
2024-03-01,265.7563269592966
2024-04-01,247.05585137597058
2024-05-01,261.26373691174945
2024-06-01,252.7032722840437
