time,Est. Total consumption (GWh)
2018-03-01,86.70492933211965
2018-04-01,98.23064035141022
2018-05-01,120.2453860329179
2018-06-01,145.43273245816334
2018-07-01,158.83032740305885
2018-08-01,147.16582829746287
2018-09-01,130.20495333238
2018-10-01,111.21623999440536
2018-11-01,97.66699601183004
2018-12-01,85.99940485511215
2019-01-01,82.26200385112715
2019-02-01,78.68005273741937
2019-03-01,88.47890302376946
2019-04-01,99.13894415610037
2019-05-01,124.2749279678625
2019-06-01,149.72769552104305
2019-07-01,157.65115598624715
2019-08-01,151.16710574967496
2019-09-01,128.39797068800638
2019-10-01,110.39625908374558
2019-11-01,92.52794760464843
2019-12-01,88.2060716663177
2020-01-01,82.17625428623413
2020-02-01,75.48625064327693
2020-03-01,87.18296655848746
2020-04-01,99.26666937872216
2020-05-01,125.99212112797385
2020-06-01,145.24694903764424
2020-07-01,156.28381606824286
2020-08-01,148.06552598062837
2020-09-01,127.71031778983098
2020-10-01,107.03150315202313
2020-11-01,95.0384151813475
2020-12-01,91.55339282923336
2021-01-01,81.88952400705708
2021-02-01,79.29647226353721
2021-03-01,89.01567841248634
2021-04-01,96.23815917754635
2021-05-01,124.14610923814001
2021-06-01,144.38298905034515
2021-07-01,155.14623280800964
2021-08-01,149.48892579928292
2021-09-01,125.28715212438794
2021-10-01,114.48604344796084
2021-11-01,93.55499363602603
2021-12-01,88.80607205182865
2022-01-01,83.9453280866077
2022-02-01,73.97871997639503
2022-03-01,90.37068426378355
2022-04-01,101.64047733357341
2022-05-01,128.57700592329527
2022-06-01,145.78356826348923
2022-07-01,158.45373613208514
2022-08-01,150.16805004733598
2022-09-01,126.65493438033798
2022-10-01,112.18701320475687
2022-11-01,92.83469000499912
2022-12-01,87.47791453366838
2023-01-01,82.68406949673266
2023-02-01,76.26446634385994
2023-03-01,88.21525006704626
2023-04-01,102.19304888542423
2023-05-01,129.90993605997585
2023-06-01,147.50485171937171
2023-07-01,161.11403194613817
2023-08-01,154.9537683818531
2023-09-01,132.0756360638255
2023-10-01,113.19682052224131
2023-11-01,89.5103508499277
2023-12-01,84.41773750724889
2024-01-01,78.82851387282665
2024-02-01,78.11485276911199
2024-03-01,89.42413839990384
2024-04-01,98.98754202961013
2024-05-01,129.1917426480079
2024-06-01,150.2534631156716
