time,predictions,actual,difference
2018-03-01,158.6509638055756,154.095,4.555963805575601
2018-04-01,193.74773860346875,183.301,10.44673860346876
2018-05-01,236.54551413092125,226.963,9.582514130921254
2018-06-01,266.3932735102242,267.761,-1.367726489775805
2018-07-01,273.7469944864111,275.781,-2.034005513588909
2018-08-01,254.50428966485657,252.049,2.455289664856565
2018-09-01,221.9913204948028,216.52,5.4713204948027965
2018-10-01,192.66384594890465,188.139,4.524845948904641
2018-11-01,167.7784783396942,163.009,4.769478339694217
2018-12-01,147.60182036628268,157.127,-9.525179633717329
2019-01-01,132.06545638161748,146.349,-14.28354361838251
2019-02-01,135.4167508986454,134.081,1.335750898645415
2019-03-01,153.01985936738976,154.115,-1.0951406326102529
2019-04-01,190.62468562842795,178.254,12.370685628427964
2019-05-01,224.0950936991828,220.324,3.771093699182785
2019-06-01,255.74158795281963,266.582,-10.840412047180365
2019-07-01,265.11771482370915,276.671,-11.553285176290842
2019-08-01,255.180436778799,267.226,-12.045563221201007
2019-09-01,224.72350456802667,224.982,-0.2584954319733299
2019-10-01,197.516815333454,196.331,1.185815333454002
2019-11-01,171.7560452595834,157.023,14.733045259583406
2019-12-01,149.40566320434047,153.234,-3.8283367956595384
2020-01-01,137.6124416772335,147.206,-9.593558322766484
2020-02-01,136.2086236781315,140.411,-4.202376321868513
2020-03-01,155.32744969449428,169.087,-13.759550305505712
2020-04-01,185.948329302514,193.711,-7.762670697486016
2020-05-01,227.9890923186622,231.32,-3.3309076813378056
2020-06-01,255.60885364042252,269.104,-13.495146359577461
2020-07-01,268.4109281032213,292.653,-24.242071896778725
2020-08-01,255.2830279301036,254.615,0.668027930103591
2020-09-01,226.40276101809343,210.179,16.223761018093427
2020-10-01,196.17190667534524,187.148,9.023906675345245
2020-11-01,165.56966724047086,164.988,0.581667240470864
2020-12-01,148.32510659243886,158.128,-9.802893407561129
2021-01-01,136.1425791438881,159.262,-23.1194208561119
2021-02-01,143.15530698174257,144.957,-1.8016930182574242
2021-03-01,155.2540766669662,156.806,-1.5519233330338125
2021-04-01,188.12697963221865,173.928,14.198979632218652
2021-05-01,228.8884531653281,235.724,-6.835546834671902
2021-06-01,258.90103440364334,264.713,-5.811965596356686
2021-07-01,268.7715296945683,290.751,-21.979470305431676
2021-08-01,253.85223896308,278.928,-25.07576103692
2021-09-01,219.3005484160688,229.468,-10.167451583931182
2021-10-01,185.87702921504277,194.78,-8.902970784957233
2021-11-01,170.64870240671956,167.302,3.3467024067195723
2021-12-01,155.53927591775823,161.551,-6.011724082241756
2022-01-01,151.70024286128384,154.552,-2.8517571387161524
2022-02-01,153.0042018228089,144.661,8.343201822808908
2022-03-01,164.35561510121534,165.378,-1.0223848987846509
2022-04-01,189.49906404653385,177.647,11.852064046533854
2022-05-01,231.1049151365871,227.145,3.9599151365870853
2022-06-01,261.6979900735611,273.656,-11.958009926438933
2022-07-01,278.0265774383034,309.159,-31.132422561696615
2022-08-01,262.5694542164535,272.579,-10.009545783546514
2022-09-01,227.81943588863692,226.319,1.500435888636929
2022-10-01,192.4815191371783,207.161,-14.679480862821691
2022-11-01,163.49744677434796,159.159,4.338446774347972
2022-12-01,152.67439709910525,157.832,-5.157602900894744
2023-01-01,147.53533958180057,154.015,-6.4796604181994155
2023-02-01,156.00862115656696,146.132,9.876621156566955
2023-03-01,166.26629876648283,172.611,-6.344701233517156
2023-04-01,189.0863208945916,187.355,1.7313208945916188
2023-05-01,229.54609738266032,232.325,-2.778902617339668
2023-06-01,259.3964495054294,267.397,-8.000550494570575
2023-07-01,274.25861993138267,300.28,-26.021380068617304
2023-08-01,262.97862227159374,290.304,-27.325377728406238
2023-09-01,231.6929957533766,220.171,11.521995753376615
2023-10-01,193.7182050372978,197.491,-3.7727949627022213
2023-11-01,166.25782757812615,172.097,-5.8391724218738545
2023-12-01,156.1657166082932,166.187,-10.021283391706817
2024-01-01,145.95305965919474,160.606,-14.652940340805259
2024-02-01,148.63412035395433,151.908,-3.273879646045657
2024-03-01,165.07548652307744,179.446,-14.370513476922554
2024-04-01,183.7433961997103,195.36,-11.61660380028971
2024-05-01,226.32172370764388,275.921,-49.59927629235611
2024-06-01,256.98404066532703,280.038,-23.05395933467298
