time,Selected business demand (GWh)
2018-03-01,667.9270691677946
2018-04-01,616.9708535725501
2018-05-01,644.0843973620124
2018-06-01,615.9043017790867
2018-07-01,607.3286895520813
2018-08-01,611.2007765571573
2018-09-01,610.6920820484032
2018-10-01,654.763226441363
2018-11-01,638.1350612030318
2018-12-01,674.7344790068296
2019-01-01,673.8109740931314
2019-02-01,609.8569907250276
2019-03-01,662.7855925165912
2019-04-01,617.9284617497412
2019-05-01,642.9199494135971
2019-06-01,589.8186428138982
2019-07-01,603.1982551761453
2019-08-01,623.5480210031177
2019-09-01,613.6241346496562
2019-10-01,647.791372305191
2019-11-01,637.3587656860442
2019-12-01,672.8560474024704
2020-01-01,678.96768428241
2020-02-01,618.6286185579374
2020-03-01,661.67165422347
2020-04-01,627.7005095496751
2020-05-01,643.946234943448
2020-06-01,594.4636356458752
2020-07-01,615.2063611493387
2020-08-01,629.3387629740133
2020-09-01,620.9459074437574
2020-10-01,658.6482613697267
2020-11-01,649.5431755646712
2020-12-01,661.2571783286769
2021-01-01,666.6518376612715
2021-02-01,629.0141520793197
2021-03-01,654.5978486918964
2021-04-01,623.8962011136899
2021-05-01,644.4275483101238
2021-06-01,596.5909973731518
2021-07-01,615.7153769370648
2021-08-01,635.0047423407809
2021-09-01,616.8643020691961
2021-10-01,658.9702546149971
2021-11-01,647.1243047864352
2021-12-01,673.6261645978564
2022-01-01,678.0401770421034
2022-02-01,635.9377130084622
2022-03-01,670.3704566678143
2022-04-01,629.4249327510955
2022-05-01,635.2125725032257
2022-06-01,592.6663536036077
2022-07-01,612.0372540534923
2022-08-01,624.2935068700093
2022-09-01,618.9634758996079
2022-10-01,660.3907787150321
2022-11-01,649.8963262669986
2022-12-01,671.2063741680199
2023-01-01,687.4903419487123
2023-02-01,620.2739721921046
2023-03-01,665.9722832943874
2023-04-01,626.4055722942584
2023-05-01,636.0059689779824
2023-06-01,594.6722269308931
2023-07-01,623.7811259729457
2023-08-01,632.150238198279
2023-09-01,623.0050191027273
2023-10-01,665.8959057682149
2023-11-01,647.1929242253494
2023-12-01,670.4041630159885
2024-01-01,678.4084564200477
2024-02-01,620.8769913622734
2024-03-01,655.3594417243281
2024-04-01,624.8915093708637
2024-05-01,631.816001405001
2024-06-01,594.491771723086
