time,Selected business demand (GWh)
2018-03-01,613.8708757840949
2018-04-01,612.2705350773704
2018-05-01,623.9924384354631
2018-06-01,617.0569514180218
2018-07-01,635.8178207351842
2018-08-01,634.6684031502398
2018-09-01,601.7933112680345
2018-10-01,605.116511719166
2018-11-01,607.5765620900336
2018-12-01,606.3574745455255
2019-01-01,611.0379998946322
2019-02-01,611.2119079047401
2019-03-01,607.6398883343833
2019-04-01,605.9991947127115
2019-05-01,621.3613795221385
2019-06-01,625.30548721541
2019-07-01,637.9337759633927
2019-08-01,646.7294516841172
2019-09-01,601.7912725880045
2019-10-01,605.6670041824792
2019-11-01,610.2481425967247
2019-12-01,606.9930413535966
2020-01-01,612.094960388585
2020-02-01,610.4256204006078
2020-03-01,610.3293801414746
2020-04-01,608.7950867579908
2020-05-01,619.0745695040969
2020-06-01,625.3682165211261
2020-07-01,636.3173365570949
2020-08-01,650.6266117888938
2020-09-01,606.2137950283454
2020-10-01,611.4835994271926
2020-11-01,609.4321870146363
2020-12-01,611.0844667590148
2021-01-01,609.7762073332044
2021-02-01,614.9580460006173
2021-03-01,610.5541086461968
2021-04-01,602.3929302749038
2021-05-01,605.564714128388
2021-06-01,616.7024156431448
2021-07-01,623.4236884867709
2021-08-01,643.2618085167077
2021-09-01,604.6993759474275
2021-10-01,610.2636548445239
2021-11-01,606.9576982499638
2021-12-01,606.9022898887025
2022-01-01,604.8890731174329
2022-02-01,605.6774781254534
2022-03-01,603.148990688084
2022-04-01,596.7111485464228
2022-05-01,614.3323332454155
2022-06-01,619.1010989745632
2022-07-01,630.2016001744041
2022-08-01,627.2208476276672
2022-09-01,592.3903533883239
2022-10-01,605.9121440684465
2022-11-01,611.1284091730354
2022-12-01,602.6278969703546
2023-01-01,607.9534272050911
2023-02-01,606.8070927627629
2023-03-01,601.4574737074731
2023-04-01,580.2022254868515
2023-05-01,576.4853296443746
2023-06-01,602.4430762054675
2023-07-01,613.9582550813764
2023-08-01,621.6103297878373
2023-09-01,584.4961762714715
2023-10-01,597.7682442663108
2023-11-01,574.6673332829502
2023-12-01,565.3313142412861
2024-01-01,561.6263546350403
2024-02-01,565.024280539868
2024-03-01,583.937231955418
2024-04-01,565.2565599019412
2024-05-01,578.2971652020904
2024-06-01,587.9064253538585
