time,Selected business demand (GWh)
2018-03-01,479.7654529412644
2018-04-01,480.70966451830435
2018-05-01,479.04337779122125
2018-06-01,478.10810040105844
2018-07-01,480.0231386736233
2018-08-01,491.6490317304095
2018-09-01,477.4595618120091
2018-10-01,480.2258148577879
2018-11-01,481.00383253122726
2018-12-01,479.9429378423109
2019-01-01,487.8046293539278
2019-02-01,456.1267182735092
2019-03-01,502.92651911285293
2019-04-01,479.6279499169116
2019-05-01,487.74790033587084
2019-06-01,479.7941290633642
2019-07-01,489.7624645013477
2019-08-01,480.76321265329153
2019-09-01,483.0805738506674
2019-10-01,481.29423679012467
2019-11-01,482.6047567074027
2019-12-01,479.81998358256726
2020-01-01,496.6640480442007
2020-02-01,459.18329976262254
2020-03-01,508.7308317134677
2020-04-01,486.0098829852581
2020-05-01,495.6619296097563
2020-06-01,482.78427135552596
2020-07-01,483.01595557084954
2020-08-01,484.61103632892207
2020-09-01,482.21258700951097
2020-10-01,485.26759721184686
2020-11-01,481.39435401888505
2020-12-01,480.4252550490282
2021-01-01,491.4553591534611
2021-02-01,461.5166903309621
2021-03-01,504.999528516905
2021-04-01,483.87684256132496
2021-05-01,479.24223775692803
2021-06-01,474.7663426242358
2021-07-01,478.1046603118616
2021-08-01,478.69097287407175
2021-09-01,477.2065493396185
2021-10-01,473.91857156015766
2021-11-01,471.55482596819127
2021-12-01,468.2655309118391
2022-01-01,493.5392376040177
2022-02-01,462.5738931819698
2022-03-01,504.03512429005866
2022-04-01,483.6868767939094
2022-05-01,485.30121643883365
2022-06-01,467.5311032455166
2022-07-01,477.43987663074114
2022-08-01,471.477819000507
2022-09-01,459.86824581586814
2022-10-01,478.16323213180806
2022-11-01,445.76712869687213
2022-12-01,470.9083572572942
2023-01-01,477.17935103114263
2023-02-01,427.70765010716013
2023-03-01,502.3618358060902
2023-04-01,485.6664046324631
2023-05-01,481.28209385966454
2023-06-01,476.01316402902853
2023-07-01,459.0793920256627
2023-08-01,464.01397506496653
2023-09-01,472.5555998213397
2023-10-01,478.0463292284094
2023-11-01,477.0942274940641
2023-12-01,476.27183067627806
2024-01-01,480.1577042300923
2024-02-01,441.51759522476675
2024-03-01,476.9737513804417
2024-04-01,415.8368371493248
2024-05-01,415.34817685130946
2024-06-01,477.36053739341986
