time,Selected business demand (GWh)
2018-03-01,328.1409764698366
2018-04-01,294.0768579919123
2018-05-01,265.46614953991053
2018-06-01,261.9776723736424
2018-07-01,263.7636785613414
2018-08-01,264.9912256970103
2018-09-01,284.14679712494296
2018-10-01,303.7279947847277
2018-11-01,342.6092668306813
2018-12-01,369.34908587792296
2019-01-01,329.7549708614482
2019-02-01,327.8023230194034
2019-03-01,312.25240643475195
2019-04-01,270.5216478278607
2019-05-01,270.9645899854148
2019-06-01,262.7038135993812
2019-07-01,268.77388448570053
2019-08-01,268.5704494075476
2019-09-01,269.70396015266454
2019-10-01,296.26078770689827
2019-11-01,325.7355250439645
2019-12-01,342.5973069853962
2020-01-01,341.8779514514496
2020-02-01,326.99753482316834
2020-03-01,308.1795162268171
2020-04-01,269.48196794348763
2020-05-01,272.3245054260952
2020-06-01,267.51945192003166
2020-07-01,267.77689397741284
2020-08-01,269.1276080431472
2020-09-01,268.2748896589197
2020-10-01,300.38778745351294
2020-11-01,333.8894669385415
2020-12-01,346.58603563673614
2021-01-01,353.862545507085
2021-02-01,342.7200424685813
2021-03-01,322.47234457674523
2021-04-01,305.8691853418609
2021-05-01,283.8157426069922
2021-06-01,275.22262553639695
2021-07-01,269.81833072158844
2021-08-01,271.5124544488514
2021-09-01,272.98323801534053
2021-10-01,319.12511437783064
2021-11-01,333.4015632333141
2021-12-01,346.3078581437534
2022-01-01,358.39146389529935
2022-02-01,342.3913667714225
2022-03-01,324.09611572224634
2022-04-01,289.6257547932533
2022-05-01,285.2326431004307
2022-06-01,266.3039622171048
2022-07-01,273.531424680573
2022-08-01,275.2444606773297
2022-09-01,275.59083238193995
2022-10-01,293.2892848064755
2022-11-01,327.3636560292549
2022-12-01,344.31025783125443
2023-01-01,361.711667639628
2023-02-01,334.7668989997283
2023-03-01,318.0424920492999
2023-04-01,277.3145339426614
2023-05-01,283.8479900255955
2023-06-01,261.96894436556187
2023-07-01,266.46088627355334
2023-08-01,271.9617924474192
2023-09-01,271.36218123344725
2023-10-01,311.974723630977
2023-11-01,330.7679990665974
2023-12-01,337.7459100017579
2024-01-01,354.8138727288862
2024-02-01,326.1519201291108
2024-03-01,325.30504466105964
2024-04-01,282.0030804088697
2024-05-01,278.4108511491687
2024-06-01,270.27277397499074
