time,predictions,actual,difference
2018-03-01,479.7654529412644,506.729,-26.96354705873557
2018-04-01,480.7096645183044,498.533,-17.823335481695608
2018-05-01,479.0433777912213,516.806,-37.76262220877874
2018-06-01,478.1081004010584,472.04,6.068100401058359
2018-07-01,480.0231386736233,487.935,-7.911861326376709
2018-08-01,491.6490317304095,507.85,-16.200968269590533
2018-09-01,477.4595618120091,489.362,-11.902438187990924
2018-10-01,480.2258148577879,486.761,-6.5351851422121285
2018-11-01,481.00383253122726,471.807,9.196832531227244
2018-12-01,479.9429378423109,482.074,-2.1310621576890867
2019-01-01,487.8046293539278,501.079,-13.274370646072214
2019-02-01,456.1267182735092,456.487,-0.36028172649082535
2019-03-01,502.9265191128529,509.623,-6.696480887147118
2019-04-01,479.6279499169116,489.352,-9.7240500830884
2019-05-01,487.7479003358709,488.248,-0.5000996641290953
2019-06-01,479.7941290633642,448.871,30.92312906336423
2019-07-01,489.7624645013477,476.116,13.646464501347737
2019-08-01,480.76321265329153,497.979,-17.215787346708453
2019-09-01,483.0805738506674,476.505,6.575573850667411
2019-10-01,481.2942367901247,492.032,-10.737763209875254
2019-11-01,482.6047567074027,468.701,13.903756707402692
2019-12-01,479.81998358256726,482.494,-2.6740164174327674
2020-01-01,496.6640480442007,484.773,11.891048044200659
2020-02-01,459.18329976262254,481.237,-22.053700237377484
2020-03-01,508.7308317134677,478.098,30.63283171346768
2020-04-01,486.0098829852581,480.206,5.803882985258099
2020-05-01,495.6619296097563,481.558,14.103929609756335
2020-06-01,482.784271355526,438.394,44.39027135552601
2020-07-01,483.0159555708496,472.589,10.4269555708496
2020-08-01,484.61103632892207,486.389,-1.7779636710779414
2020-09-01,482.21258700951097,479.647,2.5655870095109776
2020-10-01,485.26759721184686,481.752,3.5155972118468526
2020-11-01,481.39435401888505,448.515,32.87935401888507
2020-12-01,480.4252550490282,470.609,9.8162550490282
2021-01-01,491.4553591534611,476.603,14.852359153461066
2021-02-01,461.5166903309621,443.019,18.497690330962087
2021-03-01,504.999528516905,497.751,7.248528516905026
2021-04-01,483.87684256132496,471.06,12.816842561324961
2021-05-01,479.242237756928,484.367,-5.124762243072041
2021-06-01,474.7663426242358,453.558,21.208342624235797
2021-07-01,478.1046603118616,454.396,23.708660311861593
2021-08-01,478.69097287407175,416.503,62.18797287407176
2021-09-01,477.2065493396185,438.55,38.65654933961849
2021-10-01,473.91857156015766,447.036,26.882571560157658
2021-11-01,471.55482596819127,432.409,39.145825968191275
2021-12-01,468.2655309118391,454.296,13.969530911839115
2022-01-01,493.5392376040177,452.193,41.346237604017745
2022-02-01,462.5738931819698,423.89,38.683893181969836
2022-03-01,504.03512429005866,470.58,33.45512429005868
2022-04-01,483.6868767939094,452.652,31.034876793909405
2022-05-01,485.3012164388337,456.869,28.432216438833677
2022-06-01,467.5311032455166,418.456,49.07510324551657
2022-07-01,477.43987663074114,441.703,35.736876630741165
2022-08-01,471.477819000507,465.773,5.704819000506973
2022-09-01,459.86824581586814,457.366,2.50224581586815
2022-10-01,478.16323213180806,457.577,20.58623213180806
2022-11-01,445.7671286968721,430.748,15.019128696872087
2022-12-01,470.9083572572942,434.912,35.99635725729422
2023-01-01,477.1793510311426,431.888,45.2913510311426
2023-02-01,427.7076501071601,375.063,52.64465010716009
2023-03-01,502.3618358060902,422.996,79.36583580609022
2023-04-01,485.6664046324631,414.978,70.68840463246312
2023-05-01,481.2820938596645,438.495,42.78709385966448
2023-06-01,476.0131640290285,388.294,87.71916402902849
2023-07-01,459.0793920256627,397.003,62.0763920256627
2023-08-01,464.0139750649665,436.534,27.47997506496648
2023-09-01,472.5555998213397,403.532,69.0235998213397
2023-10-01,478.0463292284094,434.878,43.16832922840939
2023-11-01,477.0942274940641,408.14,68.95422749406413
2023-12-01,476.27183067627806,424.776,51.49583067627805
2024-01-01,480.1577042300923,424.482,55.675704230092265
2024-02-01,441.5175952247668,415.395,26.122595224766826
2024-03-01,476.9737513804417,439.393,37.58075138044171
2024-04-01,415.8368371493248,450.067,-34.230162850675185
2024-05-01,415.3481768513095,471.065,-55.71682314869048
2024-06-01,477.3605373934199,412.198,65.16253739341994
