Period start,Period end,Region ID,Region,Est. Total consumption (GWh),Est. Total demand (GWh),Est. proportion of regional demand,Est. proportion of national demand,Average consumption (kWh),Average daily consumption (kWh),5th percentile (kWh),25th percentile (kWh),50th percentile (kWh),75th percentile (kWh),95th percentile (kWh),Coverage %
01/12/2023,31/12/2023,LSI,Lower South Island,88.690,94.898,11.777,2.845,500,16.1,128,286,440,645,1075,93.87
01/01/2024,31/01/2024,LSI,Lower South Island,85.061,91.014,11.269,2.692,480,15.5,144,280,420,608,1018,94.03
01/02/2024,29/02/2024,LSI,Lower South Island,82.577,88.357,11.483,2.739,465,16.0,129,268,408,593,992,94.25
01/03/2024,31/03/2024,LSI,Lower South Island,101.843,108.971,13.447,3.211,573,18.5,152,327,502,736,1235,94.57
01/04/2024,30/04/2024,LSI,Lower South Island,111.977,119.814,15.708,3.605,629,21.0,155,355,552,814,1366,94.65
01/05/2024,31/05/2024,LSI,Lower South Island,151.392,161.988,19.614,4.268,849,27.4,164,458,739,1121,1903,94.59
01/06/2024,30/06/2024,LSI,Lower South Island,154.612,165.434,21.983,4.623,866,28.9,167,466,755,1143,1940,94.47
01/01/2010,31/01/2010,UNI,Upper North Island,282.000,299.048,34.296,9.369,496,16.0,131,288,437,630,1052,95.21
01/02/2010,28/02/2010,UNI,Upper North Island,259.792,275.498,32.785,9.111,457,16.3,126,268,402,576,964,95.39
01/03/2010,31/03/2010,UNI,Upper North Island,295.270,313.120,33.485,9.214,519,16.7,148,310,461,656,1083,93.69
01/04/2010,30/04/2010,UNI,Upper North Island,303.576,321.929,35.962,9.884,533,17.8,142,314,475,680,1119,95.47
01/05/2010,31/05/2010,UNI,Upper North Island,363.480,385.455,38.776,10.928,638,20.6,156,372,570,823,1358,95.50
01/06/2010,30/06/2010,UNI,Upper North Island,414.967,440.054,42.086,12.039,728,24.3,169,414,641,944,1582,95.47
01/07/2010,31/07/2010,UNI,Upper North Island,461.344,489.234,43.943,12.695,809,26.1,180,454,710,1052,1775,95.46
01/08/2010,31/08/2010,UNI,Upper North Island,445.682,472.626,43.362,12.518,782,25.2,176,441,686,1014,1706,95.43
01/09/2010,30/09/2010,UNI,Upper North Island,395.356,419.258,41.837,11.943,693,23.1,162,396,612,896,1497,95.46
01/10/2010,31/10/2010,UNI,Upper North Island,353.802,375.192,39.432,10.830,620,20.0,153,358,550,796,1326,95.47
01/11/2010,30/11/2010,UNI,Upper North Island,304.480,322.888,35.297,9.705,534,17.8,138,309,472,680,1135,95.09
01/12/2010,31/12/2010,UNI,Upper North Island,291.879,309.525,34.047,9.332,511,16.5,139,299,452,650,1079,95.06
01/01/2011,31/01/2011,UNI,Upper North Island,280.843,297.821,33.574,9.229,492,15.9,133,288,435,624,1037,95.52
01/02/2011,28/02/2011,UNI,Upper North Island,260.450,276.196,31.912,9.092,456,16.3,128,269,403,576,958,95.46
01/03/2011,31/03/2011,UNI,Upper North Island,296.826,314.771,33.171,9.511,520,16.8,145,308,463,659,1086,95.57
01/04/2011,30/04/2011,UNI,Upper North Island,312.329,331.211,36.378,10.114,546,18.2,149,323,488,697,1143,95.49
01/05/2011,31/05/2011,UNI,Upper North Island,363.526,385.503,38.190,11.019,636,20.5,169,376,568,816,1335,95.41
01/06/2011,30/06/2011,UNI,Upper North Island,403.370,427.756,41.429,12.048,705,23.5,177,410,625,909,1509,91.53
01/07/2011,31/07/2011,UNI,Upper North Island,451.558,478.857,42.936,12.487,789,25.5,178,447,696,1027,1718,87.04
01/08/2011,31/08/2011,UNI,Upper North Island,454.682,482.170,43.127,12.485,794,25.6,176,448,699,1033,1737,86.55
01/09/2011,30/09/2011,UNI,Upper North Island,403.238,427.617,41.960,12.096,704,23.5,162,400,621,912,1534,86.74
01/10/2011,31/10/2011,UNI,Upper North Island,355.902,377.419,39.105,11.074,621,20.0,154,360,552,801,1333,86.55
01/11/2011,30/11/2011,UNI,Upper North Island,310.521,329.294,35.538,10.107,541,18.0,139,316,481,694,1152,86.34
01/12/2011,31/12/2011,UNI,Upper North Island,303.276,321.610,35.366,9.888,528,17.0,142,310,470,676,1116,86.37
01/01/2012,31/01/2012,UNI,Upper North Island,290.150,307.692,34.823,9.569,510,16.4,139,302,456,653,1072,86.11
01/02/2012,29/02/2012,UNI,Upper North Island,269.823,286.136,32.820,9.291,474,16.3,136,283,423,603,991,86.14
01/03/2012,31/03/2012,UNI,Upper North Island,299.018,317.095,33.886,9.715,525,16.9,145,311,468,669,1094,95.23
01/04/2012,30/04/2012,UNI,Upper North Island,305.259,323.713,35.968,10.159,536,17.9,146,318,480,684,1117,95.17
01/05/2012,31/05/2012,UNI,Upper North Island,370.044,392.415,37.773,10.996,649,20.9,163,379,579,837,1376,95.11
01/06/2012,30/06/2012,UNI,Upper North Island,419.055,444.389,41.928,12.242,735,24.5,171,417,648,955,1594,95.28
01/07/2012,31/07/2012,UNI,Upper North Island,455.600,483.144,43.303,12.823,799,25.8,179,451,703,1041,1740,95.11
01/08/2012,31/08/2012,UNI,Upper North Island,426.477,452.260,42.053,12.327,747,24.1,171,425,658,970,1622,95.28
01/09/2012,30/09/2012,UNI,Upper North Island,377.231,400.036,40.250,11.725,661,22.0,156,379,585,855,1423,95.24
01/10/2012,31/10/2012,UNI,Upper North Island,347.481,368.488,37.495,10.819,609,19.6,151,351,541,785,1298,95.04
01/11/2012,30/11/2012,UNI,Upper North Island,310.771,329.559,35.471,10.169,544,18.1,141,316,482,697,1156,95.11
01/12/2012,31/12/2012,UNI,Upper North Island,294.686,312.501,34.482,9.594,516,16.6,141,302,458,655,1087,94.75
01/01/2013,31/01/2013,UNI,Upper North Island,277.530,294.308,32.897,9.110,485,15.7,134,285,430,617,1021,96.31
01/02/2013,28/02/2013,UNI,Upper North Island,250.994,266.168,31.848,8.852,439,15.7,126,260,388,555,916,96.24
01/03/2013,31/03/2013,UNI,Upper North Island,282.324,299.392,32.311,9.189,493,15.9,141,293,438,623,1022,90.94
01/04/2013,30/04/2013,UNI,Upper North Island,296.261,314.172,34.885,10.020,517,17.2,147,308,461,656,1071,95.37
01/05/2013,31/05/2013,UNI,Upper North Island,360.485,382.278,37.202,11.024,628,20.3,164,369,560,807,1321,95.95
01/06/2013,30/06/2013,UNI,Upper North Island,409.310,434.056,41.487,12.237,712,23.7,176,408,629,920,1529,95.84
01/07/2013,31/07/2013,UNI,Upper North Island,447.189,474.224,42.823,12.864,777,25.1,186,444,685,1007,1676,95.78
01/08/2013,31/08/2013,UNI,Upper North Island,423.236,448.823,41.910,12.530,731,23.6,177,420,646,946,1574,93.64
01/09/2013,30/09/2013,UNI,Upper North Island,377.901,400.747,39.954,11.758,651,21.7,161,377,576,838,1396,94.10
01/10/2013,31/10/2013,UNI,Upper North Island,336.975,357.348,37.314,10.696,580,18.7,150,338,515,745,1233,95.30
01/11/2013,30/11/2013,UNI,Upper North Island,299.427,317.530,34.594,9.785,515,17.2,141,303,458,658,1084,93.92
01/12/2013,31/12/2013,UNI,Upper North Island,285.122,302.360,33.647,9.435,490,15.8,137,288,434,623,1029,94.45
01/01/2014,31/01/2014,UNI,Upper North Island,277.436,294.209,33.012,9.128,476,15.4,131,280,421,604,1002,95.49
01/02/2014,28/02/2014,UNI,Upper North Island,255.319,270.755,31.925,8.946,438,15.7,125,259,387,553,920,95.50
01/03/2014,31/03/2014,UNI,Upper North Island,287.217,304.581,32.984,9.404,493,15.9,139,292,436,624,1030,95.54
01/04/2014,30/04/2014,UNI,Upper North Island,296.277,314.189,35.165,9.941,508,16.9,143,301,451,645,1061,95.68
01/05/2014,31/05/2014,UNI,Upper North Island,359.472,381.204,38.224,11.013,615,19.9,155,357,547,793,1305,95.50
01/06/2014,30/06/2014,UNI,Upper North Island,393.260,417.035,40.812,12.044,673,22.4,161,385,595,871,1448,95.57
01/07/2014,31/07/2014,UNI,Upper North Island,461.548,489.451,43.315,12.999,789,25.4,177,444,693,1025,1725,95.01
01/08/2014,31/08/2014,UNI,Upper North Island,441.565,468.261,42.479,12.542,754,24.3,169,426,664,983,1651,86.67
01/09/2014,30/09/2014,UNI,Upper North Island,379.482,402.424,39.978,11.723,647,21.6,156,372,572,835,1393,95.40
01/10/2014,31/10/2014,UNI,Upper North Island,348.448,369.514,37.677,10.673,593,19.1,147,340,523,764,1271,95.58
01/11/2014,30/11/2014,UNI,Upper North Island,313.812,332.784,35.669,10.003,533,17.8,137,307,469,682,1139,94.84
01/12/2014,31/12/2014,UNI,Upper North Island,298.821,316.886,34.567,9.578,507,16.4,135,294,447,647,1078,95.32
01/01/2015,31/01/2015,UNI,Upper North Island,272.707,289.194,31.902,8.713,463,14.9,128,270,407,587,980,95.44
01/02/2015,28/02/2015,UNI,Upper North Island,254.749,270.150,31.673,8.847,432,15.4,124,255,381,545,909,95.40
01/03/2015,31/03/2015,UNI,Upper North Island,285.223,302.467,31.965,9.095,483,15.6,137,285,428,613,1012,94.01
01/04/2015,30/04/2015,UNI,Upper North Island,304.417,322.820,35.065,10.020,515,17.2,144,304,458,657,1077,95.43
01/05/2015,31/05/2015,UNI,Upper North Island,373.918,396.523,38.619,11.262,632,20.4,161,367,561,816,1346,95.48
01/06/2015,30/06/2015,UNI,Upper North Island,421.473,446.954,42.018,12.423,712,23.7,170,404,628,925,1544,95.38
01/07/2015,31/07/2015,UNI,Upper North Island,468.774,497.114,43.887,13.000,792,25.5,180,445,696,1033,1727,95.39
01/08/2015,31/08/2015,UNI,Upper North Island,449.357,476.523,42.814,12.580,758,24.5,174,427,666,988,1655,95.35
01/09/2015,30/09/2015,UNI,Upper North Island,391.766,415.451,40.216,11.732,661,22.0,157,375,582,856,1430,95.25
01/10/2015,31/10/2015,UNI,Upper North Island,342.557,363.267,37.411,10.501,577,18.6,147,332,510,743,1235,95.21
01/11/2015,30/11/2015,UNI,Upper North Island,305.082,323.526,34.890,9.675,514,17.1,137,298,454,657,1092,95.25
01/12/2015,31/12/2015,UNI,Upper North Island,293.785,311.546,34.234,9.303,495,16.0,140,291,438,630,1042,95.28
01/01/2016,31/01/2016,UNI,Upper North Island,276.316,293.021,32.108,9.033,466,15.0,130,273,411,593,1002,95.25
01/02/2016,29/02/2016,UNI,Upper North Island,261.870,277.702,31.273,8.835,442,15.2,127,258,387,559,954,94.97
01/03/2016,31/03/2016,UNI,Upper North Island,280.402,297.354,31.679,8.905,473,15.3,137,279,417,597,994,95.44
01/04/2016,30/04/2016,UNI,Upper North Island,296.723,314.662,34.734,9.870,500,16.7,141,295,444,636,1045,95.25
01/05/2016,31/05/2016,UNI,Upper North Island,342.181,362.867,36.523,10.545,576,18.6,152,336,512,742,1211,95.19
01/06/2016,30/06/2016,UNI,Upper North Island,409.119,433.853,41.253,12.327,688,22.9,166,394,609,891,1478,95.14
01/07/2016,31/07/2016,UNI,Upper North Island,449.015,476.161,42.915,12.747,753,24.3,176,426,663,980,1633,94.99
01/08/2016,31/08/2016,UNI,Upper North Island,453.624,481.049,42.639,12.559,760,24.5,175,429,669,990,1653,94.93
01/09/2016,30/09/2016,UNI,Upper North Island,383.113,406.274,40.288,11.739,641,21.4,157,367,566,830,1379,94.74
01/10/2016,31/10/2016,UNI,Upper North Island,344.312,365.127,38.163,10.897,576,18.6,151,333,508,740,1228,94.69
01/11/2016,30/11/2016,UNI,Upper North Island,310.168,328.920,35.158,10.189,518,17.3,141,299,454,660,1108,94.26
01/12/2016,31/12/2016,UNI,Upper North Island,295.454,313.316,34.381,9.592,493,15.9,138,288,434,626,1043,93.68
01/01/2017,31/01/2017,UNI,Upper North Island,279.838,296.756,33.195,9.116,467,15.1,131,272,410,592,992,96.11
01/02/2017,28/02/2017,UNI,Upper North Island,257.703,273.283,31.982,8.907,429,15.3,123,252,378,542,909,95.91
01/03/2017,31/03/2017,UNI,Upper North Island,290.018,307.552,32.399,9.257,483,15.6,135,283,426,611,1021,95.99
01/04/2017,30/04/2017,UNI,Upper North Island,305.171,323.620,35.488,10.128,508,16.9,141,298,449,647,1069,95.94
01/05/2017,31/05/2017,UNI,Upper North Island,375.104,397.782,38.061,11.005,623,20.1,157,358,551,804,1334,95.83
01/06/2017,30/06/2017,UNI,Upper North Island,422.194,447.718,42.174,12.436,701,23.4,167,396,617,909,1518,95.83
01/07/2017,31/07/2017,UNI,Upper North Island,470.262,498.693,43.721,13.001,780,25.2,178,438,686,1017,1695,95.82
01/08/2017,31/08/2017,UNI,Upper North Island,435.180,461.490,41.662,12.331,721,23.3,166,406,634,938,1568,95.80
01/09/2017,30/09/2017,UNI,Upper North Island,382.047,405.145,40.394,11.695,632,21.1,154,359,556,818,1365,95.58
01/10/2017,31/10/2017,UNI,Upper North Island,347.063,368.045,37.440,10.861,574,18.5,150,330,505,736,1228,95.46
01/11/2017,30/11/2017,UNI,Upper North Island,303.457,321.802,34.547,9.634,501,16.7,138,290,441,638,1069,95.11
01/12/2017,31/12/2017,UNI,Upper North Island,281.443,298.458,32.622,8.929,464,15.0,130,269,406,588,987,94.74
01/01/2018,31/01/2018,UNI,Upper North Island,282.500,299.579,32.113,9.077,466,15.0,127,270,407,590,998,94.87
01/02/2018,28/02/2018,UNI,Upper North Island,264.517,280.509,32.109,9.386,435,15.5,120,252,380,549,936,94.50
01/03/2018,31/03/2018,UNI,Upper North Island,292.441,310.121,32.624,9.545,481,15.5,134,280,422,608,1026,96.10
01/04/2018,30/04/2018,UNI,Upper North Island,347.202,368.193,39.799,11.232,570,19.0,140,305,469,696,1344,96.18
01/05/2018,31/05/2018,UNI,Upper North Island,378.770,401.669,39.113,11.154,621,20.0,155,358,549,802,1329,95.31
01/06/2018,30/06/2018,UNI,Upper North Island,466.381,494.577,44.854,13.312,764,25.5,171,424,667,995,1677,95.12
01/07/2018,31/07/2018,UNI,Upper North Island,486.733,516.159,44.737,13.466,796,25.7,177,444,699,1039,1740,96.03
01/08/2018,31/08/2018,UNI,Upper North Island,453.339,480.747,42.673,12.681,740,23.9,165,413,649,965,1619,95.92
01/09/2018,30/09/2018,UNI,Upper North Island,395.636,419.555,41.214,11.956,645,21.5,153,364,566,837,1403,95.74
01/10/2018,31/10/2018,UNI,Upper North Island,344.112,364.915,37.176,10.532,561,18.1,142,320,492,721,1209,95.75
01/11/2018,30/11/2018,UNI,Upper North Island,309.218,327.912,34.704,10.084,503,16.8,133,289,441,643,1079,95.63
01/12/2018,31/12/2018,UNI,Upper North Island,295.682,313.558,34.243,9.826,480,15.5,132,277,421,609,1028,95.55
01/01/2019,31/01/2019,UNI,Upper North Island,285.059,302.293,32.852,8.987,463,14.9,126,266,403,586,997,96.37
01/02/2019,28/02/2019,UNI,Upper North Island,258.894,274.545,31.774,8.776,419,15.0,117,242,365,530,904,96.32
01/03/2019,31/03/2019,UNI,Upper North Island,311.602,330.440,34.740,9.826,504,16.3,132,280,427,628,1139,96.26
01/04/2019,30/04/2019,UNI,Upper North Island,310.396,329.162,35.774,10.016,501,16.7,134,289,441,640,1073,96.12
01/05/2019,31/05/2019,UNI,Upper North Island,366.886,389.066,38.256,11.028,592,19.1,147,337,521,764,1277,96.19
01/06/2019,30/06/2019,UNI,Upper North Island,436.365,462.746,43.070,12.697,702,23.4,160,393,617,915,1533,96.04
01/07/2019,31/07/2019,UNI,Upper North Island,466.830,495.053,43.785,13.051,750,24.2,169,418,658,979,1641,96.00
01/08/2019,31/08/2019,UNI,Upper North Island,472.046,500.584,43.367,12.892,757,24.4,168,422,664,989,1663,95.76
01/09/2019,30/09/2019,UNI,Upper North Island,403.778,428.189,41.599,12.044,647,21.6,152,362,565,839,1415,95.81
01/10/2019,31/10/2019,UNI,Upper North Island,364.419,386.450,38.313,10.990,583,18.8,147,330,511,751,1261,95.73
01/11/2019,30/11/2019,UNI,Upper North Island,306.875,325.428,34.519,9.889,490,16.3,134,281,428,624,1054,95.58
01/12/2019,31/12/2019,UNI,Upper North Island,295.862,313.749,34.082,9.369,472,15.2,132,272,411,597,1013,95.11
01/01/2020,31/01/2020,UNI,Upper North Island,288.745,306.201,33.280,9.026,460,14.8,123,265,402,584,992,91.42
01/02/2020,29/02/2020,UNI,Upper North Island,270.382,286.728,32.010,8.926,430,14.8,123,249,374,542,928,94.50
01/03/2020,31/03/2020,UNI,Upper North Island,308.668,327.329,36.295,9.929,492,15.9,136,287,433,624,1046,94.63
01/04/2020,30/04/2020,UNI,Upper North Island,345.171,366.039,48.682,12.913,550,18.3,126,315,488,710,1179,94.72
01/05/2020,31/05/2020,UNI,Upper North Island,409.591,434.353,43.430,12.381,652,21.0,158,374,576,843,1398,94.90
01/06/2020,30/06/2020,UNI,Upper North Island,435.313,461.631,43.830,12.817,692,23.1,166,393,609,896,1496,94.55
01/07/2020,31/07/2020,UNI,Upper North Island,501.432,531.746,46.185,13.687,795,25.6,188,450,699,1032,1722,94.73
01/08/2020,31/08/2020,UNI,Upper North Island,480.708,509.770,46.474,13.606,760,24.5,179,430,669,988,1647,94.64
01/09/2020,30/09/2020,UNI,Upper North Island,413.518,438.517,42.439,12.326,653,21.8,161,370,572,845,1417,94.54
01/10/2020,31/10/2020,UNI,Upper North Island,347.223,368.214,37.367,10.448,548,17.7,145,313,479,701,1177,94.38
01/11/2020,30/11/2020,UNI,Upper North Island,307.031,325.593,35.109,9.919,483,16.1,132,278,421,613,1038,94.20
01/12/2020,31/12/2020,UNI,Upper North Island,303.720,322.082,34.986,9.702,477,15.4,134,274,414,602,1024,93.73
01/01/2021,31/01/2021,UNI,Upper North Island,294.165,311.949,34.380,9.593,462,14.9,128,268,403,584,995,94.86
01/02/2021,28/02/2021,UNI,Upper North Island,271.244,287.642,34.004,9.384,425,15.2,117,245,370,537,919,94.54
01/03/2021,31/03/2021,UNI,Upper North Island,306.210,324.722,35.135,9.642,479,15.5,130,276,418,607,1033,94.41
01/04/2021,30/04/2021,UNI,Upper North Island,317.624,336.826,36.490,10.297,496,16.5,134,286,434,632,1064,92.66
01/05/2021,31/05/2021,UNI,Upper North Island,401.720,426.006,40.764,11.790,625,20.2,155,356,549,808,1353,94.06
01/06/2021,30/06/2021,UNI,Upper North Island,439.961,466.559,43.404,12.887,684,22.8,165,387,600,887,1485,93.93
01/07/2021,31/07/2021,UNI,Upper North Island,511.798,542.740,46.034,13.877,795,25.6,186,445,697,1037,1733,93.85
01/08/2021,31/08/2021,UNI,Upper North Island,501.071,531.364,47.892,14.225,777,25.1,174,435,683,1015,1696,93.93
01/09/2021,30/09/2021,UNI,Upper North Island,444.797,471.687,47.691,13.474,689,23.0,147,386,606,897,1503,93.65
01/10/2021,31/10/2021,UNI,Upper North Island,385.983,409.318,42.222,11.978,597,19.3,144,338,523,769,1298,93.81
01/11/2021,30/11/2021,UNI,Upper North Island,328.184,348.025,37.768,10.599,506,16.9,129,289,442,645,1096,93.42
01/12/2021,31/12/2021,UNI,Upper North Island,319.988,339.334,36.107,10.439,493,15.9,134,280,426,624,1076,93.33
01/01/2022,31/01/2022,UNI,Upper North Island,307.185,325.757,34.973,9.844,474,15.3,127,269,409,600,1039,94.22
01/02/2022,28/02/2022,UNI,Upper North Island,292.318,309.990,34.719,10.353,450,16.1,119,254,387,570,991,94.02
01/03/2022,31/03/2022,UNI,Upper North Island,315.242,334.300,35.021,10.062,485,15.6,131,276,419,614,1058,93.94
01/04/2022,30/04/2022,UNI,Upper North Island,317.982,337.206,37.775,10.560,488,16.3,131,278,423,622,1061,93.86
01/05/2022,31/05/2022,UNI,Upper North Island,389.530,413.080,41.641,11.780,597,19.2,148,336,521,771,1302,93.68
01/06/2022,30/06/2022,UNI,Upper North Island,452.492,479.848,45.540,13.232,692,23.1,160,386,605,901,1517,93.65
01/07/2022,31/07/2022,UNI,Upper North Island,492.025,521.771,46.545,13.491,751,24.2,172,419,658,981,1647,93.89
01/08/2022,31/08/2022,UNI,Upper North Island,469.326,497.700,45.149,13.030,715,23.1,163,397,625,934,1574,93.79
01/09/2022,30/09/2022,UNI,Upper North Island,416.435,441.611,43.694,12.420,633,21.1,149,350,551,824,1396,93.67
01/10/2022,31/10/2022,UNI,Upper North Island,377.980,400.831,41.445,11.371,574,18.5,145,322,499,740,1258,93.68
01/11/2022,30/11/2022,UNI,Upper North Island,327.579,347.383,38.325,10.737,498,16.6,129,279,429,635,1095,93.68
01/12/2022,31/12/2022,UNI,Upper North Island,328.478,348.337,38.194,10.767,498,16.1,132,279,429,634,1101,93.69
01/01/2023,31/01/2023,UNI,Upper North Island,326.534,346.275,38.360,10.591,496,16.0,140,279,426,628,1090,93.95
01/02/2023,28/02/2023,UNI,Upper North Island,298.579,316.629,37.300,10.597,453,16.2,123,254,389,574,998,94.23
01/03/2023,31/03/2023,UNI,Upper North Island,329.910,349.855,37.121,10.724,499,16.1,136,280,429,633,1099,94.14
01/04/2023,30/04/2023,UNI,Upper North Island,338.601,359.072,39.587,11.285,511,17.0,137,289,443,654,1117,94.41
01/05/2023,31/05/2023,UNI,Upper North Island,414.040,439.071,42.519,12.330,624,20.1,150,348,544,809,1367,94.43
01/06/2023,30/06/2023,UNI,Upper North Island,488.005,517.508,47.164,14.226,730,24.3,161,399,635,956,1618,94.06
01/07/2023,31/07/2023,UNI,Upper North Island,521.402,552.924,48.377,14.446,778,25.1,172,426,678,1020,1721,94.04
01/08/2023,31/08/2023,UNI,Upper North Island,541.619,574.363,48.181,14.383,806,26.0,171,437,699,1061,1797,93.88
01/09/2023,30/09/2023,UNI,Upper North Island,420.878,446.323,44.212,12.783,624,20.8,144,342,542,814,1386,93.79
01/10/2023,31/10/2023,UNI,Upper North Island,395.534,419.446,42.635,12.089,585,18.9,143,322,504,754,1301,93.69
01/11/2023,30/11/2023,UNI,Upper North Island,337.296,357.687,39.056,10.918,498,16.6,124,276,430,640,1102,93.54
01/12/2023,31/12/2023,UNI,Upper North Island,339.028,359.525,39.019,10.780,499,16.1,128,277,429,639,1109,93.48
01/01/2024,31/01/2024,UNI,Upper North Island,338.409,358.868,38.135,10.615,498,16.1,142,278,425,632,1109,94.49
01/02/2024,29/02/2024,UNI,Upper North Island,311.725,330.571,36.544,10.248,458,15.8,130,255,390,579,1022,94.62
01/03/2024,31/03/2024,UNI,Upper North Island,337.731,358.149,38.128,10.553,496,16.0,138,277,425,629,1093,94.93
01/04/2024,30/04/2024,UNI,Upper North Island,348.858,369.948,39.989,11.132,511,17.0,137,286,441,654,1122,94.95
01/05/2024,31/05/2024,UNI,Upper North Island,452.416,479.767,44.699,12.640,662,21.3,155,360,571,862,1475,95.04
01/06/2024,30/06/2024,UNI,Upper North Island,450.952,478.215,46.112,13.363,659,22.0,153,361,572,859,1456,95.06
01/01/2010,31/01/2010,USI,Upper South Island,150.884,160.268,33.966,5.021,536,17.3,144,314,473,680,1135,94.01
01/02/2010,28/02/2010,USI,Upper South Island,140.886,149.649,32.642,4.949,500,17.9,142,297,443,632,1049,94.02
01/03/2010,31/03/2010,USI,Upper South Island,160.673,170.666,33.104,5.022,570,18.4,162,340,508,722,1188,94.13
01/04/2010,30/04/2010,USI,Upper South Island,174.629,185.490,38.745,5.695,619,20.6,173,370,553,789,1291,94.11
01/05/2010,31/05/2010,USI,Upper South Island,216.421,229.881,44.692,6.518,766,24.7,180,442,681,992,1648,94.11
01/06/2010,30/06/2010,USI,Upper South Island,270.453,287.274,51.343,7.859,957,31.9,201,521,835,1265,2124,94.15
01/07/2010,31/07/2010,USI,Upper South Island,294.702,313.031,53.746,8.123,1042,33.6,207,563,910,1386,2319,94.14
01/08/2010,31/08/2010,USI,Upper South Island,271.653,288.549,51.990,7.642,960,31.0,196,530,845,1269,2107,94.08
01/09/2010,30/09/2010,USI,Upper South Island,223.539,237.442,49.351,6.764,790,26.3,172,447,699,1030,1724,93.97
01/10/2010,31/10/2010,USI,Upper South Island,194.293,206.378,40.748,5.957,687,22.2,156,395,610,888,1487,93.89
01/11/2010,30/11/2010,USI,Upper South Island,160.984,170.997,33.877,5.140,569,19.0,132,326,502,730,1236,93.85
01/12/2010,31/12/2010,USI,Upper South Island,149.569,158.872,31.028,4.790,528,17.0,128,301,464,673,1146,93.61
01/01/2011,31/01/2011,USI,Upper South Island,147.554,156.731,33.284,4.857,521,16.8,137,306,463,661,1096,92.79
01/02/2011,28/02/2011,USI,Upper South Island,136.953,145.471,33.998,4.788,484,17.3,137,287,429,610,1008,92.76
01/03/2011,31/03/2011,USI,Upper South Island,150.842,160.224,37.485,4.841,533,17.2,123,308,475,687,1134,91.89
01/04/2011,30/04/2011,USI,Upper South Island,177.258,188.282,43.331,5.750,627,20.9,147,366,560,808,1331,91.84
01/05/2011,31/05/2011,USI,Upper South Island,220.749,234.479,49.777,6.702,782,25.2,169,445,693,1016,1695,91.92
01/06/2011,30/06/2011,USI,Upper South Island,239.520,254.417,51.338,7.166,850,28.3,174,468,743,1112,1872,88.51
01/07/2011,31/07/2011,USI,Upper South Island,278.201,295.504,54.142,7.706,988,31.9,175,531,862,1309,2187,86.05
01/08/2011,31/08/2011,USI,Upper South Island,282.511,300.082,54.662,7.770,1003,32.3,173,540,876,1332,2214,86.10
01/09/2011,30/09/2011,USI,Upper South Island,232.459,246.917,51.963,6.985,825,27.5,162,458,720,1066,1799,85.82
01/10/2011,31/10/2011,USI,Upper South Island,200.259,212.714,46.849,6.241,710,22.9,145,401,622,911,1528,85.95
01/11/2011,30/11/2011,USI,Upper South Island,164.803,175.053,39.029,5.373,584,19.5,130,333,512,742,1250,85.72
01/12/2011,31/12/2011,USI,Upper South Island,156.325,166.047,35.826,5.105,554,17.9,133,323,489,700,1159,85.85
01/01/2012,31/01/2012,USI,Upper South Island,148.032,157.239,32.871,4.890,530,17.1,141,312,467,663,1097,85.70
01/02/2012,29/02/2012,USI,Upper South Island,140.712,149.463,34.029,4.853,505,17.4,119,297,447,635,1047,86.01
01/03/2012,31/03/2012,USI,Upper South Island,162.608,172.722,40.097,5.292,587,18.9,160,351,525,744,1220,92.78
01/04/2012,30/04/2012,USI,Upper South Island,170.548,181.156,42.006,5.685,616,20.5,168,367,550,784,1290,92.82
01/05/2012,31/05/2012,USI,Upper South Island,214.368,227.701,44.765,6.380,775,25.0,184,447,687,1002,1662,93.06
01/06/2012,30/06/2012,USI,Upper South Island,263.821,280.230,51.793,7.720,954,31.8,199,524,833,1256,2103,93.02
01/07/2012,31/07/2012,USI,Upper South Island,289.137,307.120,55.769,8.151,1046,33.7,204,573,920,1382,2296,93.11
01/08/2012,31/08/2012,USI,Upper South Island,260.853,277.077,53.199,7.552,944,30.5,196,519,818,1217,2022,80.42
01/09/2012,30/09/2012,USI,Upper South Island,210.367,223.451,47.034,6.549,762,25.4,168,431,670,988,1658,93.13
01/10/2012,31/10/2012,USI,Upper South Island,188.715,200.452,42.435,5.885,684,22.1,157,392,605,882,1472,93.27
01/11/2012,30/11/2012,USI,Upper South Island,163.830,174.019,37.804,5.369,594,19.8,151,347,527,760,1265,93.22
01/12/2012,31/12/2012,USI,Upper South Island,153.607,163.161,32.710,5.009,556,17.9,153,330,495,708,1171,88.25
01/01/2013,31/01/2013,USI,Upper South Island,140.893,149.656,30.181,4.633,510,16.4,141,303,454,644,1065,93.62
01/02/2013,28/02/2013,USI,Upper South Island,131.574,139.758,29.908,4.648,476,17.0,138,285,423,599,986,93.57
01/03/2013,31/03/2013,USI,Upper South Island,150.785,160.164,32.737,4.916,544,17.6,155,327,488,691,1123,93.59
01/04/2013,30/04/2013,USI,Upper South Island,167.871,178.312,39.518,5.687,605,20.2,169,362,541,772,1254,93.57
01/05/2013,31/05/2013,USI,Upper South Island,217.963,231.520,45.691,6.677,785,25.3,192,453,696,1016,1678,93.55
01/06/2013,30/06/2013,USI,Upper South Island,251.091,266.708,50.338,7.519,904,30.1,203,504,791,1183,1974,93.54
01/07/2013,31/07/2013,USI,Upper South Island,271.802,288.706,54.147,7.831,977,31.5,208,542,857,1284,2140,93.50
