Date,Total Rainfall Mm,Mean Air Temperature in Celsius,Mean Vapour Pressure Hpa,Mean Wind Speed M/Sec,Days Of Wind Gust >= 24 Knots in Day,Standard Deviation Of Daily Mean Temperature in Celsius,Year,Month,Period start,Selected business demand (GWh),Est. Total consumption (GWh),Export prices,Export volumes,Export values,Import prices,Import volumes,Import values,Population
2010-10-01,50.0,12.4,11.666666666666666,5.966666666666666,20.0,1.7333333333333334,2010.0,10.0,1/10/10,251.71,207.438,1118,1171,"10,621",890,1742,"11,129",299300.0
2010-11-01,32.166666666666664,14.866666666666667,13.533333333333333,5.033333333333333,13.0,2.3666666666666667,2010.0,11.0,1/11/10,247.133,176.231,1118,1171,"10,621",890,1742,"11,129",299300.0
2010-12-01,113.13333333333333,17.766666666666666,16.533333333333335,5.566666666666666,14.0,2.0,2010.0,12.0,1/12/10,262.155,156.766,1118,1171,"10,621",890,1742,"11,129",299300.0
2011-01-01,99.2,18.099999999999998,16.2,6.066666666666667,20.666666666666668,2.233333333333333,2011.0,1.0,1/01/11,255.14,149.981,1188,1170,"11,287",938,1552,"10,453",302300.0
2011-02-01,23.8,18.96666666666667,17.966666666666665,5.0,14.333333333333334,1.8,2011.0,2.0,1/02/11,251.469,140.402,1188,1170,"11,287",938,1552,"10,453",302300.0
2011-03-01,140.9333333333333,16.599999999999998,15.533333333333333,4.966666666666667,16.0,2.1999999999999997,2011.0,3.0,1/03/11,276.313,162.954,1188,1170,"11,287",938,1552,"10,453",302300.0
2011-04-01,123.73333333333333,13.966666666666667,13.299999999999999,5.533333333333334,15.333333333333334,2.3000000000000003,2011.0,4.0,1/04/11,264.301,179.636,1211,1291,"12,690",934,1609,"10,786",302300.0
2011-05-01,127.46666666666668,14.166666666666666,14.133333333333333,5.2,17.0,2.1333333333333333,2011.0,5.0,1/05/11,259.306,212.848,1211,1291,"12,690",934,1609,"10,786",302300.0
2011-06-01,142.06666666666666,11.166666666666666,11.4,4.666666666666667,14.333333333333334,1.9333333333333333,2011.0,6.0,1/06/11,259.977,230.933,1211,1291,"12,690",934,1609,"10,786",302300.0
2011-07-01,115.39999999999999,9.200000000000001,9.266666666666667,6.233333333333333,21.666666666666668,2.1666666666666665,2011.0,7.0,1/07/11,278.088,258.921,1162,1062,"10,024",903,1750,"11,346",302300.0
2011-08-01,85.2,9.233333333333333,10.033333333333333,5.0,15.0,2.5,2011.0,8.0,1/08/11,281.539,263.214,1162,1062,"10,024",903,1750,"11,346",302300.0
2011-09-01,58.13333333333333,10.533333333333333,10.333333333333334,5.1000000000000005,16.333333333333332,1.5,2011.0,9.0,1/09/11,246.812,232.121,1162,1062,"10,024",903,1750,"11,346",302300.0
2011-10-01,162.53333333333333,13.299999999999999,12.466666666666667,5.266666666666667,17.666666666666668,1.9666666666666668,2011.0,10.0,1/10/11,247.294,207.594,1182,1199,"11,504",931,1787,"11,943",302300.0
2011-11-01,101.60000000000001,14.266666666666666,12.433333333333332,6.433333333333334,22.5,1.5666666666666667,2011.0,11.0,1/11/11,246.504,176.484,1182,1199,"11,504",931,1787,"11,943",302300.0
2011-12-01,192.0666666666667,16.633333333333333,14.466666666666667,4.833333333333333,15.5,2.0666666666666664,2011.0,12.0,1/12/11,244.324,165.201,1182,1199,"11,504",931,1787,"11,943",302300.0
