Date,Total Rainfall Mm,Mean Air Temperature in Celsius,Mean Vapour Pressure Hpa,Mean Wind Speed M/Sec,Days Of Wind Gust >= 24 Knots in Day,Standard Deviation Of Daily Mean Temperature in Celsius,Year,Month,Period start,Selected business demand (GWh),Est. Total consumption (GWh),Export prices,Export volumes,Export values,Import prices,Import volumes,Import values,Population
2011-10-01,106.8,14.025,13.1,3.4,6.25,2.1,2011.0,10.0,1/10/11,510.795,213.567,1182,1199,"11,504",931,1787,"11,943",899600.0
2011-11-01,41.65,15.649999999999999,12.675,4.3,15.0,2.25,2011.0,11.0,1/11/11,503.011,186.1,1182,1199,"11,504",931,1787,"11,943",899600.0
2011-12-01,131.125,17.175,15.4,3.55,5.5,1.975,2011.0,12.0,1/12/11,491.552,188.827,1182,1199,"11,504",931,1787,"11,943",899600.0
2012-01-01,93.35,18.650000000000002,15.675,3.7,9.333333333333334,2.175,2012.0,1.0,1/01/12,493.713,178.27,1138,1196,"11,049",918,1632,"10,745",904800.0
2012-02-01,90.575,18.075,16.15,2.8499999999999996,2.6666666666666665,2.05,2012.0,2.0,1/02/12,484.712,167.104,1138,1196,"11,049",918,1632,"10,745",904800.0
2012-03-01,156.6,16.4,14.8,3.6,9.0,2.275,2012.0,3.0,1/03/12,511.564,182.801,1138,1196,"11,049",918,1632,"10,745",904800.0
2012-04-01,92.02499999999999,14.95,14.05,2.925,5.5,2.15,2012.0,4.0,1/04/12,509.852,187.583,1126,1304,"11,919",932,1648,"11,026",904800.0
2012-05-01,80.95,11.125,10.975,2.9,6.0,2.75,2012.0,5.0,1/05/12,515.177,226.917,1126,1304,"11,919",932,1648,"11,026",904800.0
2012-06-01,47.550000000000004,9.475,9.675,3.275,9.25,2.375,2012.0,6.0,1/06/12,498.8,253.844,1126,1304,"11,919",932,1648,"11,026",904800.0
2012-07-01,186.3,9.325,10.075,2.925,6.5,2.6,2012.0,7.0,1/07/12,514.559,273.598,1055,1186,"10,155",902,1781,"11,533",904800.0
2012-08-01,112.125,10.525,11.125,2.675,5.0,1.375,2012.0,8.0,1/08/12,526.202,255.136,1055,1186,"10,155",902,1781,"11,533",904800.0
2012-09-01,59.625,11.625,10.5,4.025,14.5,2.7,2012.0,9.0,1/09/12,502.921,226.347,1055,1186,"10,155",902,1781,"11,533",904800.0
2012-10-01,51.05,13.25,10.95,4.3,17.333333333333332,2.2,2012.0,10.0,1/10/12,515.818,213.12,1036,1298,"10,913",896,1795,"11,545",904800.0
2012-11-01,55.875,13.95,11.475,3.45,7.75,2.375,2012.0,11.0,1/11/12,504.848,186.564,1036,1298,"10,913",896,1795,"11,545",904800.0
2012-12-01,60.949999999999996,19.025,16.4,3.575,9.666666666666666,3.075,2012.0,12.0,1/12/12,491.91,184.259,1036,1298,"10,913",896,1795,"11,545",904800.0
2013-01-01,19.400000000000002,19.1,15.0,3.625,9.75,2.65,2013.0,1.0,1/01/13,496.43,173.844,1056,1305,"11,183",877,1625,"10,223",909300.0
2013-02-01,15.825,18.375,15.5,3.0,3.75,1.9000000000000001,2013.0,2.0,1/02/13,456.898,155.746,1056,1305,"11,183",877,1625,"10,223",909300.0
2013-03-01,18.525000000000002,18.2,15.375,2.875,4.25,2.25,2013.0,3.0,1/03/13,491.42,173.227,1056,1305,"11,183",877,1625,"10,223",909300.0
