time,Selected business demand (GWh)
2018-03-01,272.55612578347063
2018-04-01,254.93437915307229
2018-05-01,275.16159155827523
2018-06-01,267.0175038669887
2018-07-01,279.45833124662647
2018-08-01,277.66926864478995
2018-09-01,268.65029398755405
2018-10-01,267.20149577178205
2018-11-01,265.87371897008114
2018-12-01,264.9609561454614
2019-01-01,280.9589491593544
2019-02-01,264.04383081463084
2019-03-01,284.4697658871853
2019-04-01,262.5140443217416
2019-05-01,280.59801586875494
2019-06-01,274.57500190452953
2019-07-01,280.0200625644473
2019-08-01,286.6312996468858
2019-09-01,273.76827314360804
2019-10-01,274.80315336430357
2019-11-01,271.13891614857124
2019-12-01,263.64429710388066
2020-01-01,275.8260985485374
2020-02-01,253.42286303850975
2020-03-01,273.95824491508455
2020-04-01,251.11646305572597
2020-05-01,265.4442947124634
2020-06-01,261.27709170745976
2020-07-01,266.3264415149274
2020-08-01,276.1032886540147
2020-09-01,253.8795687220835
2020-10-01,261.24607694681765
2020-11-01,253.72712205529598
2020-12-01,251.46434562226273
2021-01-01,260.7610679546556
2021-02-01,246.68267978991622
2021-03-01,259.6126620795149
2021-04-01,218.76455640875005
2021-05-01,245.21066604831265
2021-06-01,241.10928820011816
2021-07-01,258.8147670917476
2021-08-01,261.57965975362816
2021-09-01,257.94093069811015
2021-10-01,253.51484466405105
2021-11-01,248.60055025856823
2021-12-01,248.83716300746318
2022-01-01,258.69961698779207
2022-02-01,239.4797169050234
2022-03-01,254.67017403031042
2022-04-01,223.07716393128933
2022-05-01,247.53477433256054
2022-06-01,239.06338810754167
2022-07-01,260.84995565575696
2022-08-01,257.51292394228625
2022-09-01,257.3505778462052
2022-10-01,253.117727755236
2022-11-01,249.17712848836263
2022-12-01,243.59363919694752
2023-01-01,256.8660418631638
2023-02-01,242.87401921963277
2023-03-01,258.3291415469253
2023-04-01,237.56187432241956
2023-05-01,260.5978954731271
2023-06-01,246.15641464152765
2023-07-01,261.39510527743516
2023-08-01,263.7151643484056
2023-09-01,259.7135061142728
2023-10-01,263.41348735083494
2023-11-01,250.68210992311683
2023-12-01,248.7609269056449
2024-01-01,262.9827428018961
2024-02-01,237.66618502412234
2024-03-01,259.11931239409597
2024-04-01,231.5959820137948
2024-05-01,254.618242240042
2024-06-01,244.16838435811647
