time,Selected business demand (GWh)
2018-03-01,332.76546341881703
2018-04-01,304.0880383982546
2018-05-01,257.937406893607
2018-06-01,223.80163302164956
2018-07-01,223.06168161150265
2018-08-01,251.4837503917045
2018-09-01,294.8490408033065
2018-10-01,321.42224016019134
2018-11-01,317.8060240312437
2018-12-01,325.9679457726529
2019-01-01,339.42214841725087
2019-02-01,338.6919768798388
2019-03-01,315.68748437064727
2019-04-01,283.23680027518884
2019-05-01,254.06029968741538
2019-06-01,235.72308555387215
2019-07-01,249.83465176540258
2019-08-01,259.719811728788
2019-09-01,261.06973666654216
2019-10-01,286.4480438113304
2019-11-01,323.21646075572414
2019-12-01,334.70841412114953
2020-01-01,327.62576834585747
2020-02-01,337.56892916637975
2020-03-01,348.4345757994793
2020-04-01,312.78915498924727
2020-05-01,280.40175287195865
2020-06-01,266.83118326699196
2020-07-01,260.9076374070597
2020-08-01,255.98868511318466
2020-09-01,271.9170188951855
2020-10-01,298.5113329146669
2020-11-01,320.9439025062253
2020-12-01,342.27446250813745
2021-01-01,352.1428285630835
2021-02-01,333.2545247051289
2021-03-01,313.18941068167635
2021-04-01,293.44432269843236
2021-05-01,282.5294136443273
2021-06-01,275.55042858050547
2021-07-01,271.0577962007999
2021-08-01,256.1298518609737
2021-09-01,258.6452306645789
2021-10-01,314.03909180828856
2021-11-01,350.73827428805146
2021-12-01,355.3043265255423
2022-01-01,337.6294667562328
2022-02-01,318.03751707019876
2022-03-01,307.5524190430441
2022-04-01,287.0085194136212
2022-05-01,290.27700776661584
2022-06-01,258.5983721556084
2022-07-01,236.52930479165877
2022-08-01,262.5074301119665
2022-09-01,274.42261364592326
2022-10-01,307.1605274244843
2022-11-01,288.4430004094551
2022-12-01,321.8028945891251
2023-01-01,352.07257733459204
2023-02-01,358.65347641986716
2023-03-01,319.59456060767906
2023-04-01,283.69453837028533
2023-05-01,262.77537014519055
2023-06-01,273.60917157110816
2023-07-01,286.15271641665714
2023-08-01,292.1356644425357
2023-09-01,278.16727383901605
2023-10-01,290.7871754174848
2023-11-01,319.403538951114
2023-12-01,341.00507967971805
2024-01-01,361.4185387011369
2024-02-01,347.28849110628204
2024-03-01,338.24855601673255
2024-04-01,292.96748113326015
2024-05-01,289.094433739479
2024-06-01,275.2159274582713
