time,Selected business demand (GWh)
2018-03-01,508.9084725290166
2018-04-01,480.60031888575367
2018-05-01,498.92140870580687
2018-06-01,472.84669362958084
2018-07-01,494.50150488441983
2018-08-01,511.7872533204491
2018-09-01,499.3430518045318
2018-10-01,497.55807505933865
2018-11-01,488.2102735454204
2018-12-01,505.58815602096416
2019-01-01,509.49790861477766
2019-02-01,475.60072429890636
2019-03-01,502.8908788193369
2019-04-01,489.4348591106231
2019-05-01,507.96476743741823
2019-06-01,484.50362827116334
2019-07-01,496.0117454399799
2019-08-01,511.57718469726433
2019-09-01,497.5643146552196
2019-10-01,493.54813391384397
2019-11-01,482.9068588871683
2019-12-01,487.0876307823402
2020-01-01,495.8149551561109
2020-02-01,467.10645401288565
2020-03-01,503.9104645427019
2020-04-01,489.0964413872718
2020-05-01,499.6334617985509
2020-06-01,470.51147075830363
2020-07-01,468.8701223641384
2020-08-01,466.60139019970836
2020-09-01,459.3162199467113
2020-10-01,490.34767471534144
2020-11-01,449.57825979857785
2020-12-01,470.8277489425764
2021-01-01,468.43911951626745
2021-02-01,465.4817201781303
2021-03-01,493.01530392625347
2021-04-01,430.45805403524224
2021-05-01,488.3640079735567
2021-06-01,442.20097681872073
2021-07-01,480.09522749955926
2021-08-01,487.47328095321257
2021-09-01,475.10376855028153
2021-10-01,483.4922976321908
2021-11-01,461.68050416307307
2021-12-01,463.1762316198177
2022-01-01,468.7576737910413
2022-02-01,456.6179121952982
2022-03-01,474.0974502624715
2022-04-01,446.03236750043436
2022-05-01,462.6818931105014
2022-06-01,440.1414858952277
2022-07-01,463.8449363689559
2022-08-01,462.2219147023507
2022-09-01,456.45976622808416
2022-10-01,453.8860698966414
2022-11-01,442.85724611129484
2022-12-01,441.6169968562327
2023-01-01,457.17889819634166
2023-02-01,436.23892117171073
2023-03-01,457.99388734257394
2023-04-01,436.1808736139135
2023-05-01,447.6852914870574
2023-06-01,425.38760796766934
2023-07-01,429.3030812784039
2023-08-01,451.9426847536333
2023-09-01,430.17766229293665
2023-10-01,439.11322546095124
2023-11-01,422.7112580289389
2023-12-01,418.4490126906642
2024-01-01,428.89712419425695
2024-02-01,394.5916016807801
2024-03-01,431.9863685533212
2024-04-01,396.0453434289485
2024-05-01,419.3952028506279
2024-06-01,402.44383193419134
