Total Rainfall Mm,Mean Air Temperature in Celsius,Mean Vapour Pressure Hpa,Mean Wind Speed M/Sec,Days Of Wind Gust >= 24 Knots in Day,Standard Deviation Of Daily Mean Temperature in Celsius,Year,Month,Selected business demand (GWh),Est. Total consumption (GWh),Date
0.7173490022511351,0.7729831144465292,0.6724890829694324,0.5057471264367817,0.48529411764705876,0.5584415584415584,0.0,0.0,0.8097053309869822,0.12793909668100967,2010-01-01
0.0518524171086268,0.870544090056285,0.8799126637554585,0.13793103448275867,0.08823529411764706,0.18181818181818177,0.0,0.09090909090909091,0.6687362600063704,0.042331417566876195,2010-02-01
0.03544583921553665,0.6979362101313319,0.5240174672489083,0.30651340996168575,0.3333333333333333,0.34632034632034625,0.0,0.1818181818181818,1.0000000000000002,0.16103872656696638,2010-03-01
0.19378839330001146,0.5084427767354597,0.4366812227074236,0.1724137931034484,0.2647058823529412,0.4155844155844156,0.0,0.2727272727272727,0.8250262397978096,0.19809827581018857,2010-04-01
0.8353237437521461,0.3176985616010005,0.3318777292576419,0.07662835249042166,0.3725490196078431,0.484848484848485,0.0,0.36363636363636365,0.8957353148514644,0.4026178798182529,2010-05-01
0.9442939448281122,0.13008130081300806,0.1630276564774381,0.24521072796934873,0.3725490196078431,0.484848484848485,0.0,0.4545454545454545,0.737048505767534,0.5559353654500043,2010-06-01
0.2288145293601434,0.0,0.0,0.09195402298850586,0.2941176470588235,0.5194805194805193,0.0,0.5454545454545454,0.8573756024709793,0.7034092618782535,2010-07-01
0.36434049372353006,0.18761726078799246,0.1572052401746724,0.32183908045977017,0.47058823529411764,0.46753246753246736,0.0,0.6363636363636364,0.8236215620643017,0.6969096981915566,2010-08-01
0.40863825403487347,0.33958724202626633,0.24017467248908309,1.0000000000000002,1.0,0.4025974025974025,0.0,0.7272727272727273,0.7887657112421216,0.5333794722113561,2010-09-01
0.42512114159258274,0.3414634146341463,0.25764192139737985,0.6091954022988506,0.6911764705882353,0.4025974025974025,0.0,0.8181818181818182,0.8986804384265519,0.3845153913278969,2010-10-01
0.06673280170933649,0.5384615384615384,0.43449781659388653,0.3103448275862071,0.23529411764705882,0.8181818181818182,0.0,0.9090909090909091,0.8685138091831457,0.21653777871392887,2010-11-01
0.28009462398412754,0.8048780487804877,0.6899563318777292,0.5172413793103448,0.38235294117647056,0.6363636363636364,0.0,0.9999999999999999,0.8894899818801794,0.13513074353804932,2010-12-01
0.8136517990003433,0.8455284552845529,0.6870451237263465,0.49042145593869746,0.5098039215686274,0.6753246753246752,0.07142857142858361,0.0,0.9290037231792716,0.11711852676556433,2011-01-01
0.17226906787744667,0.9174484052532833,0.8493449781659387,0.1724137931034484,0.07352941176470588,0.5064935064935064,0.07142857142858361,0.09090909090909091,0.7310381560602186,0.035982306743297165,2011-02-01
0.71383875767866,0.6979362101313319,0.6433770014556043,0.15325670498084287,0.21568627450980393,0.4502164502164502,0.07142857142858361,0.1818181818181818,0.9595933222978228,0.15333553997532556,2011-03-01
0.8359342210690983,0.42776735459662285,0.388646288209607,0.20689655172413812,0.4117647058823529,0.2597402597402597,0.07142857142858361,0.2727272727272727,0.8921322381372614,0.21233713477567462,2011-04-01
0.32977221565111214,0.39399624765478436,0.388646288209607,0.27586206896551735,0.5,0.7532467532467532,0.07142857142858361,0.36363636363636365,0.8825866957697792,0.3742665422922997,2011-05-01
0.3849441031706665,0.19762351469668527,0.22416302765647744,0.10727969348659006,0.27450980392156865,0.3809523809523808,0.07142857142858361,0.4545454545454545,0.8105669362882042,0.49110221767520224,2011-06-01
0.552062268686329,0.10506566604127565,0.05240174672489084,0.6551724137931034,0.7647058823529411,0.6233766233766235,0.07142857142858361,0.5454545454545454,0.9446013900565526,0.6630036409592874,2011-07-01
0.16631691403716278,0.05628517823639778,0.06113537117903922,0.21839080459770122,0.32352941176470584,0.5194805194805193,0.07142857142858361,0.6363636363636364,0.9271238570675131,0.6962176150212138,2011-08-01
0.008126979281926072,0.18761726078799246,0.10480349344978157,0.27586206896551735,0.4117647058823529,0.15584415584415579,0.07142857142858361,0.7272727272727273,0.8467386933886154,0.48840610236812787,2011-09-01
0.4165363043229425,0.42964352720450283,0.37554585152838416,0.4597701149425286,0.30882352941176466,0.36363636363636365,0.07142857142858361,0.8181818181818182,0.8515166864226671,0.34797339993380083,2011-10-01
0.11824182532717767,0.5515947467166978,0.33842794759825334,0.8735632183908044,0.8235294117647058,0.4415584415584416,0.07142857142858361,0.9090909090909091,0.8108698036062101,0.18267384828333277,2011-11-01
0.5279102598344079,0.6660412757973734,0.5764192139737992,0.5287356321839081,0.2647058823529412,0.2987012987012988,0.07142857142858361,0.9999999999999999,0.7510326208988893,0.19908524659224258,2011-12-01
0.38570719981685675,0.7604752970606629,0.611353711790393,0.6436781609195403,0.4901960784313726,0.3463203463203465,0.1428571428571388,0.0,0.762317039419748,0.13555201155477992,2012-01-01
0.35258880537220033,0.717948717948718,0.6259097525473071,0.12260536398467425,0.09803921568627451,0.36363636363636365,0.1428571428571388,0.09090909090909091,0.7153151647754863,0.06835374477176304,2012-02-01
0.6445495822045861,0.6078799249530956,0.5240174672489083,0.5517241379310345,0.47058823529411764,0.4545454545454545,0.1428571428571388,0.1818181818181818,0.8555322893113948,0.16282008846628337,2012-03-01
0.34888778663817765,0.49906191369606,0.4585152838427947,0.24137931034482762,0.2647058823529412,0.38961038961038963,0.1428571428571388,0.2727272727272727,0.8465924815799231,0.19159871212349167,2012-04-01
