Date,Total Rainfall Mm,Mean Air Temperature in Celsius,Mean Vapour Pressure Hpa,Mean Wind Speed M/Sec,Days Of Wind Gust >= 24 Knots in Day,Standard Deviation Of Daily Mean Temperature in Celsius,Year,Month,Period start,Selected business demand (GWh),Est. Total consumption (GWh)
2014-02-01,29.4,18.95,16.425,3.375,7.25,2.075,2014.0,2.0,1/02/14,448.356,160.038
2014-03-01,38.8,17.05,14.525,3.275,8.25,2.175,2014.0,3.0,1/03/14,493.789,176.702
2014-04-01,167.1,16.475,15.975000000000001,3.1,6.5,2.5,2014.0,4.0,1/04/14,461.802,186.332
2014-05-01,57.400000000000006,12.15,11.475,2.85,7.0,2.65,2014.0,5.0,1/05/14,471.21,224.958
2014-06-01,138.73333333333332,11.45,11.25,2.95,8.0,2.025,2014.0,6.0,1/06/14,459.147,238.334
2014-07-01,40.0,9.25,9.275,3.45,8.0,2.275,2014.0,7.0,1/07/14,479.605,268.098
2014-08-01,101.53333333333335,9.775,9.475,3.675,16.0,2.4,2014.0,8.0,1/08/14,496.164,262.595
2014-09-01,129.26666666666665,12.15,11.875,3.55,9.666666666666666,1.85,2014.0,9.0,1/09/14,473.726,225.914
2014-10-01,40.800000000000004,13.525,11.65,4.15,13.25,2.25,2014.0,10.0,1/10/14,492.592,212.056
2014-11-01,39.55,14.9,11.85,4.4,17.0,2.75,2014.0,11.0,1/11/14,463.751,195.388
2014-12-01,106.85,17.5,14.774999999999999,3.45,5.75,2.7,2014.0,12.0,1/12/14,474.33,187.702
2015-01-01,39.3,19.725,17.025,3.025,2.0,1.75,2015.0,1.0,1/01/15,496.301,173.863
2015-02-01,25.733333333333334,18.375,15.8,3.2,7.666666666666667,2.3,2015.0,2.0,1/02/15,453.22,158.703
2015-03-01,71.65,18.025,15.75,2.9,5.5,2.2,2015.0,3.0,1/03/15,505.258,177.669
2015-04-01,86.2,15.225,14.05,3.05,7.5,2.875,2015.0,4.0,1/04/15,467.625,192.708
2015-05-01,126.39999999999999,11.875,11.125,3.125,10.5,3.15,2015.0,5.0,1/05/15,480.331,232.534
2015-06-01,68.2,10.575,10.025,3.95,16.333333333333332,2.975,2015.0,6.0,1/06/15,456.379,253.992
2015-07-01,90.2,8.725,9.0,3.325,10.75,2.575,2015.0,7.0,1/07/15,487.35,283.465
2015-08-01,88.8,9.75,10.05,3.125,8.75,2.45,2015.0,8.0,1/08/15,497.626,269.495
2015-09-01,165.85,10.85,10.475,3.4749999999999996,10.75,1.975,2015.0,9.0,1/09/15,481.055,236.505
2015-10-01,31.8,13.95,11.875,3.95,15.25,2.2,2015.0,10.0,1/10/15,491.621,207.671
2015-11-01,85.4,15.1,12.674999999999999,3.825,9.75,3.025,2015.0,11.0,1/11/15,472.689,190.007
2015-12-01,23.8,17.15,13.85,3.525,8.25,2.325,2015.0,12.0,1/12/15,497.858,184.325
2016-01-01,98.33333333333333,20.0,17.625,3.6,8.75,2.55,2016.0,1.0,1/01/16,497.599,181.063
2016-02-01,58.9,21.05,18.825,3.325,4.25,1.625,2016.0,2.0,1/02/16,467.607,168.774
2016-03-01,46.95,18.475,16.625,3.15,4.0,2.2,2016.0,3.0,1/03/16,504.097,180.728
2016-04-01,62.699999999999996,15.15,14.7,2.4,1.0,2.375,2016.0,4.0,1/04/16,470.812,191.933
2016-05-01,65.55,14.575,13.6,3.35,14.0,2.625,2016.0,5.0,1/05/16,475.604,218.887
2016-06-01,102.1,10.95,10.975,2.975,8.0,2.7,2016.0,6.0,1/06/16,466.016,252.371
2016-07-01,85.55,9.75,9.525,4.0,16.0,2.275,2016.0,7.0,1/07/16,487.097,281.708
2016-08-01,99.9,9.775,10.05,2.95,7.0,2.1,2016.0,8.0,1/08/16,501.023,278.297
2016-09-01,101.73333333333333,12.625,12.0,3.575,8.0,2.25,2016.0,9.0,1/09/16,473.485,235.368
2016-10-01,83.85,14.25,12.65,3.7,12.25,2.0,2016.0,10.0,1/10/16,480.682,218.307
2016-11-01,50.26666666666667,16.125,12.95,4.45,18.0,2.025,2016.0,11.0,1/11/16,471.206,191.612
2016-12-01,41.13333333333333,17.3,14.325,3.65,11.0,1.9,2016.0,12.0,1/12/16,473.968,189.866
2017-01-01,26.2,18.925,14.2,4.5,17.5,2.55,2017.0,1.0,1/01/17,485.148,180.229
2017-02-01,124.7,19.625,17.275,3.2,4.75,2.55,2017.0,2.0,1/02/17,453.459,163.218
2017-03-01,176.05,18.45,17.325,2.975,6.25,2.075,2017.0,3.0,1/03/17,505.645,179.977
2017-04-01,235.93333333333337,15.825000000000001,15.5,2.7,5.0,2.375,2017.0,4.0,1/04/17,476.929,190.896
2017-05-01,109.2,11.9,11.5,3.05,8.25,2.375,2017.0,5.0,1/05/17,502.822,240.026
2017-06-01,71.75,10.2,10.175,2.475,5.0,1.8,2017.0,6.0,1/06/17,457.448,263.707
2017-07-01,155.2,9.274999999999999,9.975,3.025,8.0,2.025,2017.0,7.0,1/07/17,479.291,289.444
2017-08-01,86.9,11.15,11.2,3.025,7.25,2.2,2017.0,8.0,1/08/17,500.829,266.63
2017-09-01,79.39999999999999,12.5,11.675,3.8249999999999997,13.0,2.325,2017.0,9.0,1/09/17,482.156,235.145
2017-10-01,80.9,14.0,12.65,3.6,9.0,1.7,2017.0,10.0,1/10/17,489.22,214.372
2017-11-01,50.55,15.9,13.75,3.45,7.75,2.25,2017.0,11.0,1/11/17,479.732,188.38
2017-12-01,41.0,18.9,15.875,3.45,7.5,1.95,2017.0,12.0,1/12/17,487.393,182.09
2018-01-01,99.7,21.625,20.25,3.4,7.0,1.7,2018.0,1.0,1/01/18,495.395,182.611
2018-02-01,129.95000000000002,20.55,18.85,3.35,5.75,2.65,2018.0,2.0,1/02/18,453.028,166.176
2018-03-01,77.95,18.45,16.9,2.95,5.0,1.65,2018.0,3.0,1/03/18,506.729,180.913
2018-04-01,107.3,15.225,13.925,3.45,10.75,2.675,2018.0,4.0,1/04/18,498.533,197.099
2018-05-01,125.85,13.075,12.5,3.1,12.0,2.9,2018.0,5.0,1/05/18,516.806,236.309
2018-06-01,127.1,10.025,10.325,3.075,8.0,2.5,2018.0,6.0,1/06/18,472.04,280.457
2018-07-01,82.05,9.525,9.45,3.05,10.5,2.0,2018.0,7.0,1/07/18,487.935,296.869
2018-08-01,127.5,10.425,10.95,2.875,7.0,1.75,2018.0,8.0,1/08/18,507.85,275.787
2018-09-01,83.4,11.925,11.2,3.375,9.0,2.125,2018.0,9.0,1/09/18,489.362,236.482
2018-10-01,55.95,13.35,12.075,3.125,8.0,2.1,2018.0,10.0,1/10/18,486.761,208.318
2018-11-01,92.0,15.75,13.925,3.5,7.5,2.4,2018.0,11.0,1/11/18,471.807,188.157
2018-12-01,162.95,18.5,16.725,3.325,7.75,1.85,2018.0,12.0,1/12/18,482.074,185.363
2019-01-01,41.7,20.925,18.325,3.525,9.25,2.075,2019.0,1.0,1/01/19,501.079,184.993
2019-02-01,44.0,19.65,16.575,3.175,3.3333333333333335,2.3,2019.0,2.0,1/02/19,456.487,164.176
2019-03-01,48.13333333333333,18.775,16.85,2.625,2.25,1.7999999999999998,2019.0,3.0,1/03/19,509.623,181.698
2019-04-01,74.86666666666666,14.525,13.2,2.85,5.0,2.05,2019.0,4.0,1/04/19,489.352,197.236
2019-05-01,46.55,13.1,12.025,3.0,10.0,2.2,2019.0,5.0,1/05/19,488.248,235.18
2019-06-01,78.35,9.875,9.825,2.75,8.333333333333334,1.975,2019.0,6.0,1/06/19,448.871,272.687
2019-07-01,104.44999999999999,10.5,10.7,2.875,7.0,2.0,2019.0,7.0,1/07/19,476.116,288.255
2019-08-01,84.4,10.5,10.125,3.825,16.25,1.875,2019.0,8.0,1/08/19,497.979,282.093
2019-09-01,95.8,11.9,11.0,3.8,14.333333333333334,2.2,2019.0,9.0,1/09/19,476.505,250.85
2019-10-01,91.15,13.7,11.95,4.075,15.75,2.35,2019.0,10.0,1/10/19,492.032,221.088
2019-11-01,39.7,17.1,14.275,3.55,9.25,2.725,2019.0,11.0,1/11/19,468.701,185.223
2019-12-01,76.95,18.7,15.525,3.925,13.25,2.375,2019.0,12.0,1/12/19,482.494,185.629
2020-01-01,23.4,19.2,15.725,3.375,7.0,2.825,2020.0,1.0,1/01/20,484.773,185.37
2020-02-01,17.65,20.65,16.975,3.25,6.0,2.625,2020.0,2.0,1/02/20,481.237,171.685
2020-03-01,59.900000000000006,16.95,14.725,3.1,5.75,2.225,2020.0,3.0,1/03/20,478.098,191.505
2020-04-01,39.85,14.9,13.6,2.775,8.0,1.85,2020.0,4.0,1/04/20,347.727,213.508
2020-05-01,65.2,12.05,12.05,2.475,5.5,2.55,2020.0,5.0,1/05/20,481.558,254.704
2020-06-01,159.6,11.7,11.9,2.975,5.0,2.375,2020.0,6.0,1/06/20,438.394,271.712
