Date,Total Rainfall Mm,Mean Air Temperature in Celsius,Mean Vapour Pressure Hpa,Mean Wind Speed M/Sec,Days Of Wind Gust >= 24 Knots in Day,Standard Deviation Of Daily Mean Temperature in Celsius,Year,Month,Period start,Selected business demand (GWh),Est. Total consumption (GWh)
2010-01-01,84.66666666666667,14.700000000000001,12.966666666666667,4.366666666666666,14.666666666666666,2.6333333333333333,2010.0,1.0,1/01/10,645.638,88.344
2010-02-01,38.800000000000004,15.4,12.766666666666666,4.033333333333334,15.0,2.6,2010.0,2.0,1/02/10,594.381,81.286
2010-03-01,66.26666666666667,13.766666666666666,11.066666666666668,4.866666666666666,17.5,2.733333333333333,2010.0,3.0,1/03/10,666.904,91.292
2010-04-01,118.0,11.566666666666668,10.266666666666667,4.2,15.666666666666666,2.433333333333333,2010.0,4.0,1/04/10,627.427,100.433
2010-05-01,129.53333333333333,7.333333333333333,8.633333333333335,2.766666666666667,8.0,1.9000000000000001,2010.0,5.0,1/05/10,630.577,127.438
2010-06-01,70.13333333333334,4.366666666666666,6.5,2.966666666666667,9.666666666666666,2.1999999999999997,2010.0,6.0,1/06/10,608.624,145.298
2010-07-01,36.333333333333336,4.133333333333333,6.366666666666667,2.4333333333333336,4.0,1.7666666666666666,2010.0,7.0,1/07/10,624.663,156.442
2010-08-01,71.0,6.2,7.766666666666666,2.8333333333333335,5.666666666666667,1.9333333333333336,2010.0,8.0,1/08/10,634.527,149.674
2010-09-01,111.33333333333333,7.933333333333334,8.066666666666666,4.633333333333334,18.333333333333332,2.6333333333333333,2010.0,9.0,1/09/10,626.94,133.754
2010-10-01,57.26666666666666,10.5,9.0,4.3,15.333333333333334,2.3333333333333335,2010.0,10.0,1/10/10,652.279,118.289
2010-11-01,40.199999999999996,13.800000000000002,11.700000000000001,3.633333333333333,10.333333333333334,3.1333333333333333,2010.0,11.0,1/11/10,652.489,94.242
2010-12-01,107.06666666666666,15.033333333333333,11.966666666666667,4.633333333333334,19.333333333333332,2.866666666666667,2010.0,12.0,1/12/10,667.103,84.755
2011-01-01,99.26666666666667,15.0,12.466666666666667,4.7,17.333333333333332,1.8,2011.0,1.0,1/01/11,654.305,81.031
2011-02-01,92.86666666666667,14.733333333333334,12.5,3.7000000000000006,14.0,2.5,2011.0,2.0,1/02/11,599.724,77.496
2011-03-01,90.06666666666666,12.733333333333334,11.1,3.533333333333333,12.666666666666666,2.1999999999999997,2011.0,3.0,1/03/11,658.507,92.7
2011-04-01,45.199999999999996,9.966666666666667,9.533333333333333,3.733333333333334,11.0,2.766666666666667,2011.0,4.0,1/04/11,638.716,104.871
2011-05-01,89.2,9.200000000000001,9.333333333333334,3.6,13.0,1.9000000000000001,2011.0,5.0,1/05/11,645.471,127.543
2011-06-01,34.93333333333333,5.7,7.433333333333334,3.1999999999999997,9.333333333333334,2.3333333333333335,2011.0,6.0,1/06/11,611.452,137.991
2011-07-01,96.26666666666665,4.233333333333333,6.433333333333334,3.733333333333333,15.666666666666666,2.3000000000000003,2011.0,7.0,1/07/11,644.304,151.386
2011-08-01,52.06666666666666,5.566666666666666,7.133333333333333,3.6999999999999997,14.666666666666666,2.5,2011.0,8.0,1/08/11,654.844,151.596
2011-09-01,56.20000000000001,8.0,8.066666666666668,4.3,16.0,1.9666666666666668,2011.0,9.0,1/09/11,638.065,135.576
2011-10-01,83.66666666666667,10.133333333333333,9.133333333333333,4.033333333333333,14.666666666666666,2.5666666666666664,2011.0,10.0,1/10/11,655.437,117.271
2011-11-01,95.86666666666667,11.466666666666667,9.966666666666667,4.8,20.0,2.733333333333333,2011.0,11.0,1/11/11,641.382,97.799
2011-12-01,11.866666666666665,15.133333333333333,12.200000000000001,3.6333333333333333,11.0,2.6333333333333333,2011.0,12.0,1/12/11,669.65,89.518
2012-01-01,87.73333333333335,14.799999999999999,10.833333333333334,5.2,23.333333333333332,2.6,2012.0,1.0,1/01/12,669.463,83.35
2012-02-01,87.5,14.766666666666666,12.933333333333332,3.5666666666666664,7.5,2.3000000000000003,2012.0,2.0,1/02/12,613.79,80.874
2012-03-01,81.13333333333333,11.666666666666666,9.833333333333334,3.5,12.5,2.033333333333333,2012.0,3.0,1/03/12,644.058,92.995
2012-04-01,33.0,10.933333333333332,9.866666666666667,2.8666666666666667,7.0,1.9666666666666668,2012.0,4.0,1/04/12,602.702,100.63
2012-05-01,61.4,7.5,8.066666666666668,3.3000000000000003,11.666666666666666,1.9333333333333333,2012.0,5.0,1/05/12,617.111,121.251
2012-06-01,83.03333333333335,4.533333333333333,6.8,4.0,13.666666666666666,2.2333333333333334,2012.0,6.0,1/06/12,579.411,141.377
2012-07-01,46.666666666666664,4.8,6.466666666666666,2.566666666666667,6.666666666666667,3.1333333333333333,2012.0,7.0,1/07/12,580.697,157.725
2012-08-01,29.600000000000005,6.866666666666667,7.766666666666666,2.733333333333333,5.0,1.7666666666666666,2012.0,8.0,1/08/12,584.04,148.687
2012-09-01,105.5,9.166666666666666,8.5,3.8000000000000003,14.333333333333334,2.6999999999999997,2012.0,9.0,1/09/12,575.998,126.868
2012-10-01,121.0,9.366666666666667,8.533333333333333,5.3,22.666666666666668,2.3000000000000003,2012.0,10.0,1/10/12,616.017,114.054
2012-11-01,71.69999999999999,11.133333333333333,9.5,4.533333333333333,17.666666666666668,2.6,2012.0,11.0,1/11/12,598.079,97.878
2012-12-01,81.1,14.5,11.6,4.3,17.666666666666668,2.266666666666667,2012.0,12.0,1/12/12,638.877,91.706
2013-01-01,125.6,15.366666666666667,12.200000000000001,4.233333333333333,16.0,2.8666666666666667,2013.0,1.0,1/01/13,645.894,84.429
2013-02-01,39.333333333333336,15.266666666666666,12.133333333333333,3.766666666666667,10.0,2.6,2013.0,2.0,1/02/13,604.721,77.018
2013-03-01,30.46666666666667,14.5,11.6,3.3000000000000003,10.0,2.5,2013.0,3.0,1/03/13,642.672,85.984
2013-04-01,57.833333333333336,10.6,9.766666666666667,3.4333333333333336,9.0,2.3666666666666667,2013.0,4.0,1/04/13,597.478,94.53
2013-05-01,94.53333333333335,7.633333333333333,8.466666666666667,3.1666666666666665,11.0,2.1666666666666665,2013.0,5.0,1/05/13,611.376,119.793
2013-06-01,110.39999999999999,5.266666666666667,7.400000000000001,3.1,9.333333333333334,2.433333333333333,2013.0,6.0,1/06/13,579.931,137.381
2013-07-01,72.06666666666666,6.666666666666667,7.266666666666666,3.1999999999999997,12.0,2.8000000000000003,2013.0,7.0,1/07/13,586.057,147.621
2013-08-01,33.06666666666667,7.633333333333333,8.0,2.9,6.333333333333333,2.0,2013.0,8.0,1/08/13,592.021,140.141
2013-09-01,73.60000000000001,8.200000000000001,8.200000000000001,3.733333333333333,13.333333333333334,2.1999999999999997,2013.0,9.0,1/09/13,601.079,124.562
2013-10-01,120.3,10.666666666666666,9.066666666666668,4.3,17.5,2.8000000000000003,2013.0,10.0,1/10/13,624.092,111.626
2013-11-01,30.8,13.133333333333333,11.066666666666668,3.8000000000000003,12.666666666666666,2.3333333333333335,2013.0,11.0,1/11/13,627.143,96.248
2013-12-01,82.60000000000001,14.299999999999999,12.233333333333334,4.1,15.333333333333334,2.1666666666666665,2013.0,12.0,1/12/13,641.158,88.392
