Date,Station,Total Rainfall Mm,Mean Air Temperature in Celsius,Mean Vapour Pressure Hpa,Mean Wind Speed M/Sec,Days Of Wind Gust >= 24 Knots in Day,Standard Deviation Of Daily Mean Temperature in Celsius
2017-02-01,5451,39.4,14.8,11.2,3.3,11,2.6
2017-01-01,5451,122.6,14,9.3,4.3,22,2.8
2017-07-01,5451,32.8,3.3,5.8,2.8,6,2
2017-06-01,5451,44.6,4.5,6.4,2.6,7,1.7
2017-03-01,5451,26.8,13.6,9.9,3.5,11,2.1
2017-05-01,5451,55.8,5.9,7.2,2.6,9,1.5
2017-11-01,5451,51.8,14.1,11.2,3.8,16,3.7
2017-10-01,5451,4.8,11.4,8.5,3.9,15,2.3
2017-09-01,5451,74.4,7.8,7.9,3,7,2.8
2018-04-01,5451,102.2,9.9,7.9,3.6,15,3.3
2018-08-01,5451,17.6,5.6,6.7,2.5,4,1.6
2018-12-01,5451,20,15.8,11.8,3.6,20,2.7
2018-02-01,5451,108,14.9,11.6,3.8,-,2.8
2018-01-01,5451,41.4,20.3,14.1,4,16,2.9
2018-07-01,5451,85,5,6.3,2.8,9,1.6
2018-06-01,5451,30.8,3.1,5.8,2.5,4,2.1
2018-03-01,5451,53.6,14.2,10.8,3.4,13,3
2018-05-01,5451,79.8,6.3,7,2.8,12,3.4
2018-11-01,5451,90.8,11.7,9.4,3.6,12,3.2
2018-10-01,5451,31,9.9,7.9,3.9,18,3.1
2018-09-01,5451,82.2,7.3,6.8,3.1,10,2.2
2019-04-01,5451,95.8,9.4,8.7,2.8,10,2.1
2019-08-01,5451,37.4,5.5,6.3,3.4,14,1.7
2019-12-01,5451,-,13.1,9.8,3.9,20,2.2
2019-02-01,5451,25.8,15.5,10.6,3.8,-,2.7
2019-01-01,5451,79.4,17.1,10.9,3.8,19,2.8
2019-07-01,5451,31.6,5.3,6.8,2.7,7,1.7
2019-06-01,5451,31.4,4.6,6.2,2.6,7,1.8
2019-03-01,5451,61.6,15.2,12.4,2.9,8,2.6
2019-05-01,5451,104.4,8.8,8.3,2.8,9,1.5
2019-11-01,5451,75.4,13.7,9.7,3.7,17,3.1
2019-10-01,5451,68.6,9.3,8.1,3.7,17,2.3
2019-09-01,5451,28.2,8,7.1,3.5,14,2.4
2020-04-01,5451,56,10.1,8.6,2.9,4,2.3
2020-08-01,5451,48.8,6.7,6.9,3,9,2.8
2020-12-01,5451,45.4,14,10,4.2,19,2.6
2020-02-01,5451,-,16.6,12.4,3.9,-,2.6
2020-01-01,5451,-,16.7,11.6,3.8,16,3
2020-07-01,5451,97.4,4,6.1,3.1,9,2.4
2020-06-01,5451,-,4.6,6.3,3.2,-,2.5
2020-03-01,5451,25,12.8,9.6,3.6,12,2.4
2020-05-01,5451,55.6,7.4,7.7,2.7,6,2.9
2020-11-01,5451,34.2,13,9.7,4.1,17,2.4
2020-10-01,5451,58.2,11.2,8.9,3.9,14,2.9
2020-09-01,5451,115.8,7.4,7.3,3.7,16,2.5
2021-04-01,5451,50.8,10.8,9.1,3.1,10,2.6
2021-08-01,5451,75.2,6.2,6.8,2.8,11,2.5
2021-12-01,5451,75.8,15.2,10.6,4,15,2
2021-02-01,5451,31,16.3,11.7,3.6,10,2.5
2021-01-01,5451,139,15,11.1,4,19,3.3
2021-07-01,5451,-,4.7,6.3,2.9,-,2.2
2021-06-01,5451,66.2,5.8,7.3,2.5,7,2.4
2021-03-01,5451,21.4,13.5,10.9,3.3,11,2.3
2021-05-01,5451,83.2,7,7.5,2.9,7,2.9
2021-11-01,5451,55.6,13,9.9,3.7,15,2.2
2021-10-01,5451,46.2,10.7,9.1,3.6,10,2.8
2021-09-01,5451,79.6,7.5,7,3.3,15,2
2022-04-01,5451,52.8,10.5,8.7,3.3,11,2.1
2022-08-01,5451,131.6,5.9,6.7,2.9,8,2.5
2022-12-01,5451,23.6,15.2,11,4,12,2.1
2022-02-01,5451,91.6,15.5,12.2,3.8,14,2.7
2022-01-01,5451,12,17.1,11.6,4.4,17,2.3
2022-07-01,5451,73,4.2,6.2,3.1,10,2
2022-06-01,5451,114.2,5,6.5,3.3,11,2.7
2022-03-01,5451,5.8,15.4,11.2,3.2,8,1.7
2022-05-01,5451,47,8.8,8.2,3,6,2.5
2022-11-01,5451,108.4,13,10.4,3.6,15,2.2
2022-10-01,5451,-,9.9,7.6,4,-,3.1
2022-09-01,5451,20.4,7.7,7.5,3.3,11,2.5
2023-04-01,5451,63.2,10.8,9,3,8,2.2
2023-08-01,5451,51.8,5.3,5.9,3.3,14,2.1
2023-12-01,5451,60.8,15.7,11.1,4.4,18,2.3
2023-02-01,5451,62,16.8,12,3.7,15,3.3
2023-01-01,5451,13.2,17.7,12.5,4.3,19,2
2023-07-01,5451,29.6,5.2,6,3.4,13,2.8
2023-06-01,5451,51.2,4,6.3,2.5,3,2.1
2023-03-01,5451,-,12.9,9.6,3.7,-,3.4
2023-05-01,5451,172.6,8.7,8.4,2.8,11,2.9
2023-11-01,5451,34.8,12.2,9.3,4.2,19,2.3
2023-10-01,5451,63.4,10,7.3,4.1,17,2.7
2023-09-01,5451,134.4,8.8,7.1,3.7,13,2.2
2024-04-01,5451,-,10.7,9,3,-,2
2024-08-01,5451,-,-,-,-,-,-
2024-12-01,5451,-,-,-,-,-,-
2024-02-01,5451,40.4,15,11,4.1,18,2.3
2024-01-01,5451,65.2,16.2,11.3,4.1,15,2.9
2024-07-01,5451,-,3.9,5.6,2.9,-,2.6
2024-06-01,5451,36.2,5.2,6.4,2.8,5,2.1
2024-03-01,5451,85.6,12,8.9,4,18,2.6
2024-05-01,5451,31.4,5.3,6.4,3.2,11,2.1
2024-11-01,5451,-,-,-,-,-,-
2024-10-01,5451,-,-,-,-,-,-
2024-09-01,5451,-,-,-,-,-,-
2010-04-01,7339,62.8,11.8,10.4,3.6,15,2.6
2010-08-01,7339,61,6.4,8.1,2.8,5,1.8
2010-12-01,7339,107.8,15.3,12.5,3.8,17,3.2
2010-02-01,7339,40,15.1,12.7,3,-,2.6
2010-01-01,7339,52.8,14.3,13.3,3.8,13,2.7
2010-07-01,7339,17.2,4.1,6.4,2.1,3,1.7
2010-06-01,7339,62.2,4.9,6.7,2.9,11,2
2010-03-01,7339,28.6,14.2,10.9,4.3,19,3
2010-05-01,7339,243.2,7.6,8.8,2.6,9,1.7
2010-11-01,7339,49.2,13.8,12.3,3,7,3.2
2010-10-01,7339,33.8,10.7,9.3,4,16,2.2
2010-09-01,7339,57.6,8.4,8.2,4.4,19,2.5
2011-04-01,7339,48.4,10.5,9.8,3.2,11,2.9
2011-08-01,7339,47.6,5.6,7.4,3.2,13,2.4
2011-12-01,7339,11.2,14.8,12.8,2.9,7,3
2011-02-01,7339,106.4,14.7,12.9,3,-,2.8
2011-01-01,7339,80.4,14.9,13,4.4,16,1.8
2011-07-01,7339,25.8,4.4,6.1,3.6,17,2.5
2011-06-01,7339,20.6,6,7.4,3.1,12,2.5
2011-03-01,7339,64.4,12.9,11.5,2.9,11,2.4
2011-05-01,7339,78,9.4,9.4,2.9,11,2.2
2011-11-01,7339,95.2,12,10.4,4.4,17,2.9
2011-10-01,7339,98,10.3,9.7,3.5,12,3
2011-09-01,7339,21,8.3,8.3,4,19,2.1
2012-04-01,7339,20.4,10.6,10,2.1,-,2
2012-08-01,7339,53.6,7.2,8.2,2.7,6,2.1
2012-12-01,7339,-,14.8,12.4,3.6,14,2.6
2012-02-01,7339,113.6,14.4,13.1,3.4,8,2.1
2012-01-01,7339,65.4,14.8,11.3,4.1,20,2.3
2012-07-01,7339,43.2,4.9,6.3,2.2,10,3.4
2012-06-01,7339,50.7,4.6,6.7,3.7,13,1.9
