Date,Station,Total Rainfall Mm,Mean Air Temperature in Celsius,Mean Vapour Pressure Hpa,Mean Wind Speed M/Sec,Days Of Wind Gust >= 24 Knots in Day,Standard Deviation Of Daily Mean Temperature in Celsius
2017-02-01,2283,73.4,17.6,17.6,4.6,11,1.9
2017-01-01,2283,92,15.9,16,6.4,20,1.9
2017-07-01,2283,160.8,9.9,10.3,5.4,17,2
2017-06-01,2283,89,10.2,10.5,4.5,13,1.6
2017-03-01,2283,85,17.7,16.6,5.2,15,1.7
2017-05-01,2283,114,12.1,12.3,5,15,2.1
2017-11-01,2283,40.8,15.5,13.6,5.4,14,2
2017-10-01,2283,56.2,13.8,13,5.8,18,1.4
2017-09-01,2283,139.4,11.9,12.6,6.1,-,1.8
2018-04-01,2283,59,15.2,14.8,5.5,20,2.3
2018-08-01,2283,133.4,10.9,11.7,4.8,15,1.6
2018-12-01,2283,75.4,17.5,17.2,4.9,17,1.7
2018-02-01,2283,105,19.3,18.6,5.4,14,2.1
2018-01-01,2283,89.2,20.9,20.9,4.7,13,1.4
2018-07-01,2283,163.6,10,10.8,5.4,16,1.9
2018-06-01,2283,114.6,10.4,10.3,5.4,16,2.3
2018-03-01,2283,138.8,17.9,16.4,4.9,10,1.8
2018-05-01,2283,198.2,13.3,13.1,6,25,2.6
2018-11-01,2283,74.4,14.5,14.6,5,12,2.4
2018-10-01,2283,82.2,12.4,12.9,4.8,11,1.6
2018-09-01,2283,47.6,11.6,11.5,6.6,18,1.9
2019-04-01,2283,213.2,14.6,14.1,5.7,17,1.9
2019-08-01,2283,-,10.6,10.8,6.6,25,1.8
2019-12-01,2283,141.2,16.9,15.6,6.6,19,1.6
2019-02-01,2283,84.6,18.2,16.8,5.3,13,1.6
2019-01-01,2283,39,19,18.6,5.7,18,1.8
2019-07-01,2283,236.2,11.4,11.5,5.4,19,1.6
2019-06-01,2283,79.8,10.3,10.1,4.8,16,2.1
2019-03-01,2283,118.8,18.4,18.2,4.3,10,1.7
2019-05-01,2283,-,13.6,13.7,5,-,1.8
2019-11-01,2283,73.6,14.9,15.2,5.4,17,2.2
2019-10-01,2283,128,12.9,12.7,6.4,22,1.8
2019-09-01,2283,169.6,11.8,11.8,5.9,19,2
2020-04-01,2283,76.2,14.6,14.1,4.9,-,1.8
2020-08-01,2283,124,11,11,5.2,20,1.9
2020-12-01,2283,-,16.1,14.4,6.1,20,1.8
2020-02-01,2283,52.2,18.3,17.9,4.6,11,2.3
2020-01-01,2283,22.8,17.4,16,5.8,14,2.4
2020-07-01,2283,155,10.4,10.3,4.8,15,2.1
2020-06-01,2283,-,12.1,11.9,5.8,-,1.7
2020-03-01,2283,104,16.4,14.5,5.4,15,1.8
2020-05-01,2283,-,12.5,12,4.5,-,2.3
2020-11-01,2283,287.2,15.5,14.9,6.1,20,1.9
2020-10-01,2283,148,13.5,13.8,4.8,12,2.5
