Date,Station,Total Rainfall Mm,Mean Air Temperature in Celsius,Mean Vapour Pressure Hpa,Mean Wind Speed M/Sec,Days Of Wind Gust >= 24 Knots in Day,Standard Deviation Of Daily Mean Temperature in Celsius
2017-02-01,1673,100.8,19.7,18.4,3.1,2,1.7
2017-01-01,1673,35.4,18.7,15.3,4.3,12,2
2017-07-01,1673,192.8,9.2,10,3,7,2.4
2017-06-01,1673,67.4,10.4,10.2,2.4,5,2
2017-03-01,1673,218.8,19.1,18.1,3.4,7,1.9
2017-05-01,1673,105.4,12.2,11.9,3.1,9,2.8
2017-11-01,1673,52.6,16.1,14.3,3.4,4,2
2017-10-01,1673,145.4,13.9,13,3.6,8,1.4
2017-09-01,1673,88,12.1,12.3,3.6,13,2.1
2018-04-01,1673,147,15.2,14.6,3.6,9,2.5
2018-08-01,1673,196.6,10.9,11.6,3,8,1.8
2018-12-01,1673,218,18.8,17.6,3.7,8,1.6
2018-02-01,1673,144.8,20.8,20.1,3.6,6,2.1
2018-01-01,1673,185.4,21.5,20.9,3.9,7,1.5
2018-07-01,1673,137.4,9.3,9.7,2.7,8,1.6
2018-06-01,1673,-,10,10.1,2.8,-,2.6
2018-03-01,1673,64.4,19,17.1,3,6,1.6
2018-05-01,1673,223.6,13.1,13.1,2.7,9,3
2018-11-01,1673,83.8,15.8,14.4,3.5,4,2.1
2018-10-01,1673,77.4,13.5,12.8,3.1,7,2.2
2018-09-01,1673,30.8,11.9,11.6,3.1,5,2.1
2019-04-01,1673,-,14.6,13.5,2.6,5,2.3
2019-08-01,1673,96,10.5,10.9,3.5,16,1.9
2019-12-01,1673,99.4,19.4,17.4,4.3,9,1.8
2019-02-01,1673,29,20.1,17.1,3.1,2,1.8
2019-01-01,1673,24.6,21.4,18.7,3.3,9,1.8
2019-07-01,1673,133.2,10.9,11.6,3,5,2
2019-06-01,1673,82.4,9.8,10,2.3,-,1.9
2019-03-01,1673,-,19.1,17.6,2.6,1,1.6
2019-05-01,1673,92.4,13,12.8,2.7,-,2
2019-11-01,1673,46.4,16.8,15.8,3.7,5,2.3
2019-10-01,1673,95.4,13.8,13,3.9,12,2.2
2019-09-01,1673,95.8,11.9,11.7,3.7,12,1.7
2020-04-01,1673,41.2,14.8,15.1,2.6,6,1.6
2020-08-01,1673,75.8,10.6,11.1,3.1,11,2.3
2020-12-01,1673,33.4,18.1,15.5,3.7,8,2.4
2020-02-01,1673,16.8,20.9,19.4,3.4,3,2.1
2020-01-01,1673,16.8,19.5,17.5,3.2,5,2.1
2020-07-01,1673,107.8,9.9,10.3,2.8,8,2.4
2020-06-01,1673,200.8,12,12.2,2.7,7,2.7
2020-03-01,1673,56.4,17.2,15.9,2.8,5,2.2
2020-05-01,1673,60.4,12.1,12.9,2.4,6,2.4
2020-11-01,1673,-,16.7,15.2,4.1,12,2.1
2020-10-01,1673,25,14.6,14,3.2,1,2.3
2020-09-01,1673,32.6,11.9,11.4,3.8,10,2.2
2021-04-01,1673,87.2,15.7,15.5,2.6,5,2.9
2021-08-01,1673,68,10.1,10.3,2.8,8,2
2021-12-01,1673,124.8,20.5,18.9,4.2,6,1.4
2021-02-01,1673,71.8,19,17,3.2,3,1.7
2021-01-01,1673,132.8,19.5,16.9,3.4,5,1.9
2021-07-01,1673,128.4,9.5,10,3.1,9,2.1
2021-06-01,1673,-,12,12.1,2.8,-,2.6
2021-03-01,1673,55.2,17.5,16,2.9,4,1.8
2021-05-01,1673,110.8,12.8,13,2.5,6,2.8
2021-11-01,1673,25.6,17.4,16.5,3.5,-,1.6
2021-10-01,1673,187.4,14.4,14.1,3.7,6,2.3
2021-09-01,1673,128.8,11.9,11.8,3.5,12,2
2022-04-01,1673,35.2,15.9,15.3,3.3,4,2.6
2022-08-01,1673,-,10.9,11.4,3.5,4,2.8
2022-12-01,1673,192.6,18.5,17.8,4,8,1.7
2022-02-01,1673,173.4,20.6,19.9,3.8,2,2.4
2022-01-01,1673,36.4,20.4,17,4,8,1.6
2022-07-01,1673,238.6,11.4,11.7,4.4,15,2.4
2022-06-01,1673,182.2,11.9,12.2,4.1,15,2.8
2022-03-01,1673,151.6,18.5,15.9,3.9,8,1.6
2022-05-01,1673,156.6,12.9,13.4,3.2,5,2.3
2022-11-01,1673,206,17.3,16.3,4.5,14,1.4
2022-10-01,1673,102,14.1,12.9,3.9,7,2.7
2022-09-01,1673,224,12.4,12.5,3.8,10,2.4
2023-04-01,1673,62.2,16.2,16.2,3.8,9,2.5
2023-08-01,1673,57,9.1,9.6,3.4,-,1.6
2023-12-01,1673,-,19.1,17,4,-,1.9
2023-02-01,1673,199.2,19.7,19.3,4,6,1.6
2023-01-01,1673,168.8,19.7,18.5,5.2,15,1.2
2023-07-01,1673,57.4,10,10,4,12,1.9
2023-06-01,1673,165,11.6,11.3,3.7,9,1.8
2023-03-01,1673,-,17.4,16.6,3.3,-,2.6
2023-05-01,1673,330.6,14.5,15.2,5.2,18,3.6
2023-11-01,1673,75,16.3,14.6,3.9,13,2.1
2023-10-01,1673,-,14.2,13,4.3,-,2.5
2023-09-01,1673,286.8,12.9,13.1,4.3,13,2.1
2024-04-01,1673,88.2,15,14.3,3.3,5,2.5
2024-08-01,1673,-,-,-,-,-,-
2024-12-01,1673,-,-,-,-,-,-
2024-02-01,1673,46.4,19.7,18,3.7,5,2
2024-01-01,1673,59,21,18.8,4,7,1.9
2024-07-01,1673,161.8,9.5,9.8,3.1,7,2
2024-06-01,1673,158,11,11.2,3.5,9,2
2024-03-01,1673,50.4,16.6,14.2,3.9,10,2.5
2024-05-01,1673,87.2,11.2,10.9,3.2,8,1.7
2024-11-01,1673,-,-,-,-,-,-
2024-10-01,1673,-,-,-,-,-,-
2024-09-01,1673,-,-,-,-,-,-
2010-04-01,2112,36.6,14.9,13.8,2.3,5,2
2010-08-01,2112,196.1,10.2,11.6,2.7,-,2.3
2010-12-01,2112,120.2,19.3,17.5,3.1,7,2.6
2010-02-01,2112,24.4,20.3,18.6,2.3,2,1.4
2010-01-01,2112,191.6,18.3,16.5,3.1,8,2.4
2010-07-01,2112,65.8,8.3,8.8,2.6,6,2.4
2010-06-01,2112,222.6,9.6,10.8,2.8,6,2.2
2010-03-01,2112,20.2,16.8,14.5,2.8,5,2.4
2010-05-01,2112,120.4,11.9,12.2,2.4,7,2.5
2010-11-01,2112,16,15.7,14.2,2.6,4,2.7
2010-10-01,2112,41.2,12.8,12.2,3.4,9,2
2010-09-01,2112,180.8,12,12.4,4.3,15,1.9
2011-04-01,2112,114.5,14,13.7,2.6,-,1.8
2011-08-01,2112,37.4,8.6,10,2.4,4,2.6
2011-12-01,2112,215.1,17.5,16.1,3.3,4,1.8
2011-02-01,2112,34.2,20.2,18.4,2.3,2,1.9
2011-01-01,2112,225.4,19.5,17.4,3.2,8,1.6
2011-07-01,2112,169.2,9.3,9.6,3.5,13,2.7
2011-06-01,2112,165.3,11,12,2.7,7,2.3
2011-03-01,2112,193.4,17.2,15.6,2.4,3,2.3
2011-05-01,2112,135.6,13.4,14,2.8,7,2.6
2011-11-01,2112,38.4,14.7,13.2,4.1,14,2.1
2011-10-01,2112,149.2,13.8,13.9,3.3,8,2.2
2011-09-01,2112,60.8,10.2,11,3,-,1.6
2012-04-01,2112,39,14.6,13.6,2.5,5,2.6
2012-08-01,2112,147,10.4,11.4,2.4,5,1.3
2012-12-01,2112,131.6,18.2,17.4,3,6,3.1
2012-02-01,2112,118.2,18.2,17,2.3,2,1.7
2012-01-01,2112,104.8,17.6,16.7,3.3,7,1.9
2012-07-01,2112,223.8,8.7,10,2.7,7,3.2
2012-06-01,2112,92,8.9,10.2,2.8,7,2.8
2012-03-01,2112,90.4,16.1,14.4,3.3,8,2
2012-05-01,2112,107.2,10.6,11.3,2.3,2,2.8
2012-11-01,2112,29.3,13.3,12.1,3.1,8,1.5
2012-10-01,2112,116.8,12.4,12.1,4.2,17,2
2012-09-01,2112,89.9,11.4,11.3,3.8,13,2.4
2013-04-01,2112,140.2,15.9,15.1,2.5,6,2.4
2013-08-01,2112,89.4,10.9,11.5,3,11,1.5
2013-12-01,2112,98.4,16.9,16.5,3,8,1.7
2013-02-01,2112,22.8,18.4,15.5,2.5,4,1.8
2013-01-01,2112,11.2,18.4,15.3,3.2,9,2.1
2013-07-01,2112,38.8,8.8,10,2,2,1.9
2013-06-01,2112,164.7,9.1,10.3,2.2,4,2.7
2013-03-01,2112,35.7,18.5,15.4,2.3,4,1.5
2013-05-01,2112,192.7,11.9,12.2,2.1,7,2.4
2013-11-01,2112,73.8,16.1,15.3,2.8,8,2.2
2013-10-01,2112,58,13.1,13.4,3.7,11,2
2013-09-01,2112,160,11.9,12.3,3.8,15,2.8
2014-04-01,2112,162,16.2,15.9,2.8,6,2.8
2014-08-01,2112,-,9.3,9.9,3.5,-,2.6
2014-12-01,2112,78.2,17.1,15.7,3.4,6,2.5
2014-02-01,2112,12.4,19,16.9,3.1,10,1.9
2014-01-01,2112,38.6,16.7,16,3.4,-,1.8
2014-07-01,2112,-,8.6,9.5,3.4,9,2.7
2014-06-01,2112,198,11,11.6,2.8,7,2.4
2014-03-01,2112,6,16.8,14.6,3.1,8,2
2014-05-01,2112,80.2,11.4,12.1,2.4,3,3
2014-11-01,2112,82.2,13.5,13.6,4.3,15,2
2014-10-01,2112,-,12.9,12.9,4.1,12,1.9
2014-09-01,2112,141.2,11.9,12.5,3.7,9,2
2015-04-01,2112,182.4,14.8,14.5,2.8,6,2.9
2015-08-01,2112,121,9.2,10.5,2.9,6,2.4
2015-12-01,2112,33,16.7,15,3.6,11,2.1
2015-02-01,2112,46.6,18.4,16.8,2.9,4,1.8
2015-01-01,2112,25.2,19.5,17.8,2.6,1,1.5
2015-07-01,2112,127,8.3,9.5,3.1,7,2.9
2015-06-01,2112,68,10.1,10.8,3.6,12,3.2
2015-03-01,2112,73.2,17.9,16,2.7,7,1.7
2015-05-01,2112,153.2,11.5,11.9,2.8,10,2.8
2015-11-01,2112,114.8,14.4,13.2,3.4,6,2.6
2015-10-01,2112,39.6,13,12.8,4,17,1.9
2015-09-01,2112,163,10.9,10.8,3.5,9,1.6
2016-04-01,2112,39.6,14.9,15.1,2.3,0,2.3
2016-08-01,2112,97.8,9.3,10.5,3,5,2.2
2016-12-01,2112,47.8,16.1,14.9,3.5,10,1.9
2016-02-01,2112,78,21.3,19.7,3.1,4,1.6
2016-01-01,2112,-,19.5,18.4,3.2,7,2.3
2016-07-01,2112,151.8,9,9.9,4.1,-,2.6
2016-06-01,2112,140.4,10.5,11.7,2.9,7,2.9
2016-03-01,2112,22.4,18.5,17,3.1,5,2
2016-05-01,2112,140.4,14,14.8,3.1,14,2.2
2016-11-01,2112,-,14.8,13.8,4.6,-,1.7
2016-10-01,2112,110.8,13.3,13.2,3.8,11,1.8
2016-09-01,2112,-,12.7,12.8,3.7,-,2.3
2017-04-01,2112,-,15.5,15.9,2.5,3,2.1
2017-08-01,2112,141.4,10.8,11.8,3,5,2.3
2017-12-01,2112,15.2,19,16.9,3.1,5,1.5
2017-02-01,2112,139.4,19.2,18.1,2.9,2,2
2017-01-01,2112,60,17,16,4.1,16,1.9
2017-07-01,2112,160.2,9.1,10.3,2.8,7,2.1
2017-06-01,2112,63.4,9.5,10.1,2.4,4,2.4
2017-03-01,2112,216.2,18.2,17.5,3,7,2.2
2017-05-01,2112,124.2,11.1,11.9,2.8,6,2.8
2017-11-01,2112,104.4,16.1,13.9,3.3,6,2.4
2017-10-01,2112,104.8,13.7,13.5,4,11,1.7
