time,predictions,actual,difference
2018-03-01,661.6456899213507,636.711,24.934689921350696
2018-04-01,625.2313029316455,624.963,0.26830293164550767
2018-05-01,645.8209487613806,644.28,1.540948761380605
2018-06-01,624.3570727789457,597.254,27.103072778945716
2018-07-01,614.2569819606045,604.333,9.923981960604578
2018-08-01,632.1868981015899,629.566,2.620898101589887
2018-09-01,635.4401456491839,620.333,15.107145649183963
2018-10-01,634.0386006849237,671.633,-37.594399315076316
2018-11-01,653.8377325066266,645.05,8.78773250662664
2018-12-01,678.5539198513839,664.571,13.982919851383826
2019-01-01,673.186745928488,704.676,-31.48925407151205
2019-02-01,608.8006702129237,662.642,-53.84132978707635
2019-03-01,660.2633805231433,688.714,-28.450619476856787
2019-04-01,620.6110848848388,650.828,-30.216915115161214
2019-05-01,640.85099225102,650.441,-9.590007748980042
2019-06-01,591.8032600565266,614.915,-23.111739943473367
2019-07-01,611.7744021402416,627.927,-16.15259785975843
2019-08-01,632.5582062421507,654.401,-21.842793757849222
2019-09-01,613.4110687049387,638.476,-25.064931295061342
2019-10-01,654.9208021042498,674.86,-19.939197895750226
2019-11-01,645.0887642900254,652.788,-7.699235709974573
2019-12-01,663.5776856168229,694.489,-30.911314383177114
2020-01-01,680.5244402028248,711.683,-31.158559797175144
2020-02-01,623.4778776309303,651.148,-27.67012236906976
2020-03-01,666.2359174380475,674.092,-7.856082561952462
2020-04-01,629.686867188744,569.697,59.98986718874403
2020-05-01,645.2322616896341,617.572,27.660261689634126
2020-06-01,600.7417123254658,594.216,6.525712325465747
2020-07-01,612.8220580993723,609.136,3.6860580993723033
2020-08-01,631.7180884046128,622.593,9.125088404612825
2020-09-01,628.0209656543237,632.573,-4.5520343456762475
2020-10-01,646.5133204170037,681.769,-35.25567958299632
2020-11-01,647.8499994361292,662.689,-14.83900056387074
2020-12-01,669.0228890231382,684.518,-15.495110976861838
2021-01-01,698.8113600829857,650.932,47.87936008298573
2021-02-01,634.9640941049339,625.797,9.16709410493388
2021-03-01,664.4807384421504,682.599,-18.118261557849678
2021-04-01,614.8235579973915,626.211,-11.387442002608509
2021-05-01,635.4316079596621,624.162,11.26960795966204
2021-06-01,594.6429640809449,581.23,13.412964080944903
2021-07-01,614.2085786098603,609.979,4.229578609860255
2021-08-01,627.0855588854749,613.885,13.200558885474948
2021-09-01,622.6375891509925,623.487,-0.8494108490074268
2021-10-01,660.0126143360468,665.869,-5.856385663953233
2021-11-01,652.1164726376726,651.6,0.5164726376725639
2021-12-01,680.1683718977607,651.446,28.722371897760695
2022-01-01,684.570801485568,684.213,0.3578014855680749
2022-02-01,629.9148450199468,590.583,39.331845019946854
2022-03-01,665.0253990649375,658.653,6.37239906493744
2022-04-01,620.1901736398185,617.126,3.0641736398184776
2022-05-01,634.1886358253734,630.114,4.074635825373321
2022-06-01,595.1534568594875,602.716,-7.562543140512503
2022-07-01,611.1978332267433,621.149,-9.95116677325666
2022-08-01,624.0430506880407,641.631,-17.587949311959278
2022-09-01,621.5635662744322,638.686,-17.122433725567817
2022-10-01,657.7869219912099,681.962,-24.175078008790138
2022-11-01,650.0573835679725,661.153,-11.095616432027555
2022-12-01,679.5814266525235,672.325,7.256426652523487
2023-01-01,678.4006297898485,702.339,-23.93837021015156
2023-02-01,624.4106278664017,634.913,-10.502372133598328
2023-03-01,665.2471415337994,659.158,6.08914153379942
2023-04-01,618.7275796905022,614.385,4.342579690502248
2023-05-01,642.7477340848562,643.984,-1.2362659151438038
2023-06-01,603.197455961476,597.214,5.983455961475897
2023-07-01,607.5986932301483,611.774,-4.175306769851659
2023-08-01,622.8451658548477,644.076,-21.230834145152357
2023-09-01,622.9114533370443,644.333,-21.42154666295562
2023-10-01,663.484996756618,685.855,-22.37000324338203
2023-11-01,645.386701187259,678.651,-33.264298812741
2023-12-01,668.6445043197554,710.926,-42.28149568024469
2024-01-01,684.527498143313,716.667,-32.13950185668705
2024-02-01,625.624950095036,681.095,-55.47004990496407
2024-03-01,670.9681066142542,701.394,-30.42589338574578
2024-04-01,619.0523960884532,642.926,-23.873603911546866
2024-05-01,643.401804224916,663.393,-19.991195775084066
2024-06-01,592.5986644136337,587.121,5.477664413633761
