time,predictions,actual,difference
2018-03-01,182.2233518167998,180.913,1.3103518167997947
2018-04-01,191.49280529456868,197.099,-5.606194705431307
2018-05-01,223.2888807966368,236.309,-13.020119203363208
2018-06-01,231.28919460589947,280.457,-49.167805394100526
2018-07-01,243.4302606080067,296.869,-53.43873939199332
2018-08-01,257.9659801801937,275.787,-17.82101981980628
2018-09-01,232.8400018237155,236.482,-3.6419981762844884
2018-10-01,216.59788662274232,208.318,8.27988662274231
2018-11-01,194.20020486341087,188.157,6.043204863410864
2018-12-01,184.3840840343653,185.363,-0.9789159656347124
2019-01-01,184.38305457349844,184.993,-0.6099454265015538
2019-02-01,167.51355108610508,164.176,3.337551086105094
2019-03-01,184.4353975556488,181.698,2.7373975556487835
2019-04-01,195.4141940155795,197.236,-1.8218059844204788
2019-05-01,233.56556645288123,235.18,-1.6144335471187787
2019-06-01,266.63574294488285,272.687,-6.051257055117162
2019-07-01,290.7273691382848,288.255,2.4723691382848187
2019-08-01,267.071441541194,282.093,-15.021558458805998
2019-09-01,234.15521931641223,250.85,-16.694780683587766
2019-10-01,206.69258156273855,221.088,-14.39541843726144
2019-11-01,194.67562655809505,185.223,9.452626558095034
2019-12-01,186.3261782654137,185.629,0.6971782654136973
2020-01-01,181.55368608113483,185.37,-3.816313918865177
2020-02-01,168.24465867807655,171.685,-3.440341321923455
2020-03-01,185.21038373296332,191.505,-6.294616267036673
2020-04-01,192.28479087374157,213.508,-21.22320912625844
2020-05-01,235.3340842169108,254.704,-19.369915783089198
2020-06-01,269.38104724854213,271.712,-2.3309527514578576
2020-07-01,286.1423811961202,309.107,-22.96461880387983
2020-08-01,277.6229108558799,288.363,-10.740089144120077
2020-09-01,240.02247320296297,247.337,-7.3145267970370185
2020-10-01,216.9794960818245,216.431,0.5484960818244815
2020-11-01,188.05815977805472,189.11,-1.051840221945298
2020-12-01,177.51124228789817,190.322,-12.810757712101832
2021-01-01,189.1870775683599,191.55,-2.3629224316401007
2021-02-01,171.95462872919873,168.98,2.9746287291987414
2021-03-01,187.90350509675596,189.059,-1.1554949032440334
2021-04-01,197.68919448521413,203.387,-5.69780551478587
2021-05-01,238.9542480939518,257.024,-18.069751906048197
2021-06-01,271.0876161044305,277.352,-6.264383895569495
2021-07-01,286.3024023962489,321.911,-35.60859760375109
2021-08-01,286.1514725502084,306.973,-20.82152744979163
2021-09-01,238.2312800868587,267.932,-29.700719913141313
2021-10-01,209.542737115468,228.073,-18.53026288453202
2021-11-01,189.6260074213409,193.41,-3.7839925786591095
2021-12-01,193.0269084369535,197.684,-4.657091563046492
2022-01-01,187.15134665655643,196.794,-9.642653343443584
2022-02-01,163.90421134866318,178.549,-14.644788651336825
2022-03-01,180.88740314852052,195.908,-15.020596851479468
2022-04-01,196.8619453164774,203.65,-6.788054683522603
2022-05-01,243.48735216102065,249.098,-5.610647838979361
2022-06-01,272.5352630269643,285.227,-12.691736973035688
2022-07-01,300.55618493908275,307.94,-7.383815060917243
2022-08-01,285.3905694767694,290.834,-5.4434305232306315
2022-09-01,246.8097524296936,259.108,-12.298247570306415
2022-10-01,216.26858009480904,232.077,-15.80841990519096
2022-11-01,185.9115871407251,193.883,-7.9714128592749205
2022-12-01,179.25875969918974,199.738,-20.47924030081026
2023-01-01,180.68412937530823,201.289,-20.604870624691756
2023-02-01,173.01636925772735,176.214,-3.1976307422726507
2023-03-01,187.1543470046867,196.935,-9.78065299531329
2023-04-01,200.07760720637484,209.068,-8.990392793625176
2023-05-01,245.54541451493355,255.924,-10.378585485066452
2023-06-01,269.1611237912769,294.665,-25.503876208723113
2023-07-01,305.42414496962425,316.841,-11.416855030375757
2023-08-01,290.0317282589564,320.534,-30.502271741043614
2023-09-01,240.16990608222943,245.283,-5.113093917770556
2023-10-01,220.75990918983777,225.282,-4.52209081016224
2023-11-01,184.53555571780532,199.677,-15.14144428219467
2023-12-01,191.4968003071888,203.497,-12.000199692811208
2024-01-01,187.1120867950772,205.798,-18.685913204922798
2024-02-01,164.79473252434306,185.524,-20.72926747565694
2024-03-01,188.7425213533603,204.168,-15.425478646639704
2024-04-01,204.0203010912963,214.703,-10.682698908703713
2024-05-01,236.62220002173476,279.464,-42.84179997826524
2024-06-01,270.844945215612,283.221,-12.376054784388032
